SITE,site_type,SITE_label,year,HC,HCB,HCBR,HCE,HCF,HCP,RB,RCCA,RCTA,SC,HCM,RKCTA,SD,RC,RKC,SCL,SPE,OT,NIA,RKCNIA,SI,SP,SCZ,NR,SCB
Cappuccino,RF,Cappuccino (RF),2013,0.013,0.006,0.175,0,0,0,0.081,0.056,0.4,0,0,0.006,0.262,0,0,0,0,0,0,0,0,0,0,0,0
Cappuccino,RF,Cappuccino (RF),2014,0,0.038,0.231,0.006,0,0,0.05,0,0.3,0,0,0,0.338,0,0,0,0,0,0.038,0,0,0,0,0,0
Cappuccino,RF,Cappuccino (RF),2015,0,0.006,0.269,0.006,0.013,0,0.119,0,0.269,0,0,0,0.294,0,0,0,0.013,0.006,0,0.006,0,0,0,0,0
Cappuccino,RF,Cappuccino (RF),2016,0,0.069,0.244,0,0,0,0.056,0.013,0.419,0,0,0,0.144,0.025,0,0,0,0.019,0.013,0,0,0,0,0,0
Cappuccino,RF,Cappuccino (RF),2017,0.006,0.013,0.138,0,0,0,0.025,0.05,0.306,0,0.013,0,0.438,0.006,0,0,0,0,0.006,0,0,0,0,0,0
Cappuccino,RF,Cappuccino (RF),2018,0,0.025,0.25,0,0.019,0,0.038,0.05,0.412,0,0,0,0.169,0,0.013,0,0,0.013,0.013,0,0,0,0,0,0
Cappuccino,RF,Cappuccino (RF),2019,0.013,0.006,0.15,0.038,0,0.013,0.094,0.006,0.456,0,0,0,0.2,0.006,0,0,0,0.013,0,0,0.006,0,0,0,0
Cappuccino,RF,Cappuccino (RF),2020,0.044,0.006,0.069,0.038,0.031,0,0.119,0.031,0.256,0,0,0,0.156,0.2,0,0,0,0.013,0.038,0,0,0,0,0,0
Cappuccino,RF,Cappuccino (RF),2021,0.013,0,0.119,0.013,0.006,0,0.125,0.044,0.5,0,0,0,0.144,0,0,0,0,0.031,0,0.006,0,0,0,0,0
Cappuccino,RF,Cappuccino (RF),2022,0.006,0.006,0.144,0,0.006,0,0.125,0,0,0,0,0.025,0.3,0.35,0.013,0,0,0,0.025,0,0,0,0,0,0
Cappuccino,RF,Cappuccino (RF),2023,0.013,0,0.306,0,0.038,0,0.025,0.006,0.381,0,0,0,0.194,0.013,0,0,0,0.019,0.006,0,0,0,0,0,0
Cappuccino,RF,Cappuccino (RF),2024,0,0.006,0.188,0.031,0.019,0,0.062,0.038,0.425,0,0,0,0.212,0,0,0,0,0,0.019,0,0,0,0,0,0
Jetty Flat,RF,Jetty Flat (RF),2013,0.013,0,0.319,0.019,0,0,0.006,0.112,0.469,0,0,0,0.019,0,0,0.013,0,0.006,0.025,0,0,0,0,0,0
Jetty Flat,RF,Jetty Flat (RF),2014,0,0.013,0.25,0.062,0,0,0.006,0,0.6,0.006,0,0,0.019,0,0,0,0,0,0.038,0,0,0,0.006,0,0
Jetty Flat,RF,Jetty Flat (RF),2015,0,0.006,0.35,0,0,0,0.006,0,0.619,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0.013,0,0
Jetty Flat,RF,Jetty Flat (RF),2016,0,0.031,0.406,0.031,0,0,0.038,0.194,0.231,0,0,0.019,0,0.019,0,0,0,0.019,0.013,0,0,0,0,0,0
Jetty Flat,RF,Jetty Flat (RF),2017,0,0,0.294,0.019,0,0,0.038,0.006,0.575,0,0,0,0.069,0,0,0,0,0,0,0,0,0,0,0,0
Jetty Flat,RF,Jetty Flat (RF),2018,0.006,0.013,0.262,0.019,0.006,0,0,0.069,0.588,0,0,0.006,0.025,0,0,0,0,0,0.006,0,0,0,0,0,0
Jetty Flat,RF,Jetty Flat (RF),2019,0.025,0,0.15,0.038,0.025,0,0.056,0.031,0.644,0,0,0,0.019,0.013,0,0,0,0,0,0,0,0,0,0,0
Jetty Flat,RF,Jetty Flat (RF),2020,0.006,0.006,0.294,0.006,0,0,0,0,0.588,0,0,0.094,0,0.006,0,0,0,0,0,0,0,0,0,0,0
Jetty Flat,RF,Jetty Flat (RF),2021,0.006,0,0.312,0.031,0.006,0,0.031,0.106,0.344,0,0,0,0.013,0.144,0,0,0,0,0,0,0,0,0.006,0,0
Jetty Flat,RF,Jetty Flat (RF),2022,0,0,0.275,0.006,0.006,0,0.006,0.312,0.356,0,0,0,0,0.031,0,0.006,0,0,0,0,0,0,0,0,0
Jetty Flat,RF,Jetty Flat (RF),2023,0.056,0,0.319,0.056,0,0,0.025,0,0.288,0,0,0,0.025,0.231,0,0,0,0,0,0,0,0,0,0,0
Jetty Flat,RF,Jetty Flat (RF),2024,0,0,0.162,0.069,0,0.013,0.006,0,0.656,0.006,0,0,0.031,0,0,0.019,0,0,0,0,0,0,0.038,0,0
Last Resort,RF,Last Resort (RF),2013,0.013,0,0.069,0.013,0,0,0.019,0.006,0.044,0,0,0,0.462,0,0,0,0,0,0.375,0,0,0,0,0,0
Last Resort,RF,Last Resort (RF),2014,0,0,0.031,0,0,0,0.075,0,0.212,0,0.013,0,0.462,0.006,0,0,0,0.05,0.15,0,0,0,0,0,0
Last Resort,RF,Last Resort (RF),2015,0,0,0.069,0,0,0,0.275,0,0,0,0.006,0,0.537,0.013,0,0,0,0,0.1,0,0,0,0,0,0
Last Resort,RF,Last Resort (RF),2016,0,0.006,0.2,0,0,0,0.062,0.013,0.156,0,0.006,0,0.3,0,0,0,0,0,0.256,0,0,0,0,0,0
Last Resort,RF,Last Resort (RF),2017,0,0.019,0.013,0.006,0,0,0.006,0.044,0.194,0,0,0,0.562,0.006,0,0,0,0.025,0.125,0,0,0,0,0,0
Last Resort,RF,Last Resort (RF),2018,0.013,0.038,0.062,0,0,0,0.062,0.038,0.2,0,0,0,0.325,0.006,0,0,0,0.031,0.225,0,0,0,0,0,0
Last Resort,RF,Last Resort (RF),2019,0.019,0.006,0.038,0,0,0,0.112,0.031,0.069,0,0.006,0,0.488,0.013,0,0,0,0.044,0.175,0,0,0,0,0,0
Last Resort,RF,Last Resort (RF),2020,0.013,0,0.019,0,0,0,0.038,0.069,0.244,0,0,0,0.406,0,0.013,0,0,0.025,0.169,0.006,0,0,0,0,0
Last Resort,RF,Last Resort (RF),2021,0.006,0,0.05,0,0,0,0.056,0.1,0.075,0,0,0,0.631,0.069,0,0,0,0,0.013,0,0,0,0,0,0
Last Resort,RF,Last Resort (RF),2022,0.013,0,0.025,0,0,0,0.044,0.075,0.144,0,0,0,0.525,0,0,0,0,0.013,0.162,0,0,0,0,0,0
Last Resort,RF,Last Resort (RF),2023,0.019,0.006,0.075,0,0,0,0.05,0.081,0.169,0,0.006,0,0.369,0,0,0,0,0.031,0.188,0,0,0,0,0.006,0
Last Resort,RF,Last Resort (RF),2024,0.025,0,0,0,0,0,0.013,0.038,0.194,0,0.019,0,0.488,0,0,0,0,0,0.219,0,0.006,0,0,0,0
Research Zone,RF,Research Zone (RF),2013,0.025,0,0.025,0.006,0,0,0.05,0,0.05,0,0,0,0.731,0.056,0,0,0,0,0.056,0,0,0,0,0,0
Research Zone,RF,Research Zone (RF),2014,0.05,0,0.013,0,0,0,0.081,0,0.044,0,0.025,0,0.656,0.013,0,0,0,0,0.119,0,0,0,0,0,0
Research Zone,RF,Research Zone (RF),2015,0.006,0,0.069,0,0.019,0,0.081,0,0.075,0.006,0,0,0.7,0.044,0,0,0,0,0,0,0,0,0,0,0
Research Zone,RF,Research Zone (RF),2016,0.069,0,0,0,0,0,0.056,0.013,0.1,0,0,0,0.694,0.031,0,0,0,0,0.038,0,0,0,0,0,0
Research Zone,RF,Research Zone (RF),2017,0.031,0,0.05,0.006,0,0,0.013,0.013,0.144,0,0,0,0.738,0,0,0.006,0,0,0,0,0,0,0,0,0
Research Zone,RF,Research Zone (RF),2018,0,0,0.062,0,0,0,0.025,0.006,0.188,0.006,0.006,0,0.688,0,0,0,0,0,0.019,0,0,0,0,0,0
Research Zone,RF,Research Zone (RF),2019,0.056,0.006,0.131,0,0.006,0,0.088,0.013,0.1,0,0,0.006,0.456,0.05,0,0.006,0,0.013,0.069,0,0,0,0,0,0
Research Zone,RF,Research Zone (RF),2020,0.056,0,0.006,0,0,0.006,0.35,0,0.169,0,0.019,0,0.238,0.144,0,0,0,0,0.013,0,0,0,0,0,0
Research Zone,RF,Research Zone (RF),2021,0.019,0,0.013,0.044,0,0,0.088,0.013,0.088,0,0,0,0.656,0.031,0,0,0,0.031,0.019,0,0,0,0,0,0
Research Zone,RF,Research Zone (RF),2022,0.075,0,0.019,0.013,0,0,0.069,0.038,0.094,0,0,0,0.637,0.013,0,0,0,0,0.038,0,0,0.006,0,0,0
Research Zone,RF,Research Zone (RF),2023,0.081,0,0.006,0.006,0.006,0,0.075,0.019,0.05,0,0,0,0.656,0.038,0,0,0,0,0.062,0,0,0,0,0,0
Research Zone,RF,Research Zone (RF),2024,0.106,0.006,0.006,0.006,0.013,0,0.019,0,0.181,0,0,0.006,0.613,0,0.013,0,0,0,0.031,0,0,0,0,0,0
Shark Bay,RF,Shark Bay (RF),2013,0.062,0.038,0.075,0,0,0,0.031,0,0,0,0,0,0.475,0,0.206,0,0,0,0.106,0,0,0,0,0,0.006
Shark Bay,RF,Shark Bay (RF),2014,0.062,0,0,0,0,0,0.044,0,0.125,0,0,0,0.581,0.019,0,0,0,0.025,0.138,0,0.006,0,0,0,0
Shark Bay,RF,Shark Bay (RF),2015,0.006,0,0.075,0.006,0,0,0.031,0,0.025,0,0,0.006,0.625,0,0,0,0,0,0.219,0,0,0.006,0,0,0
Shark Bay,RF,Shark Bay (RF),2016,0.013,0,0.056,0,0,0,0.006,0,0.094,0,0,0.031,0.631,0.031,0,0,0,0.038,0.1,0,0,0,0,0,0
Shark Bay,RF,Shark Bay (RF),2017,0.006,0.05,0.081,0.013,0,0,0,0.025,0.169,0,0,0,0.519,0.056,0,0,0,0,0.081,0,0,0,0,0,0
Shark Bay,RF,Shark Bay (RF),2018,0.031,0.013,0.125,0,0,0,0.006,0.006,0.125,0,0,0,0.506,0,0,0,0,0.019,0.169,0,0,0,0,0,0
Shark Bay,RF,Shark Bay (RF),2019,0.062,0,0.031,0,0,0,0.019,0.006,0.044,0,0,0,0.519,0,0,0,0,0.031,0.288,0,0,0,0,0,0
Shark Bay,RF,Shark Bay (RF),2020,0.025,0,0.069,0,0,0.013,0.006,0,0.181,0,0,0,0.512,0.15,0.013,0,0,0.031,0,0,0,0,0,0,0
Shark Bay,RF,Shark Bay (RF),2021,0.019,0,0.05,0,0,0,0.031,0.031,0.181,0,0.006,0,0.5,0.05,0,0,0,0.044,0.088,0,0,0,0,0,0
Shark Bay,RF,Shark Bay (RF),2022,0.088,0.006,0.013,0.013,0,0,0.019,0.062,0.181,0,0,0,0.438,0,0,0,0,0.006,0.175,0,0,0,0,0,0
Shark Bay,RF,Shark Bay (RF),2023,0.169,0,0,0,0,0,0.075,0,0.225,0,0.019,0,0.469,0.019,0,0,0,0.013,0.013,0,0,0,0,0,0
Shark Bay,RF,Shark Bay (RF),2024,0,0.006,0.15,0.013,0,0,0.006,0,0.119,0,0.006,0,0.569,0,0,0,0,0,0.131,0,0,0,0,0,0
White Wedding,RF,White Wedding (RF),2014,0,0,0.094,0,0,0,0.05,0,0.25,0,0.006,0,0.512,0,0,0,0,0.019,0.069,0,0,0,0,0,0
White Wedding,RF,White Wedding (RF),2015,0,0.006,0.075,0.025,0,0,0.05,0,0.162,0,0.031,0,0.594,0.038,0,0,0,0.006,0,0,0.006,0.006,0,0,0
White Wedding,RF,White Wedding (RF),2016,0.019,0,0.019,0.006,0,0,0.025,0.006,0.169,0.006,0.025,0,0.512,0.094,0,0,0,0.088,0.025,0.006,0,0,0,0,0
White Wedding,RF,White Wedding (RF),2017,0.044,0.013,0.038,0.044,0,0,0.006,0,0.238,0,0,0,0.562,0,0,0,0,0.044,0.013,0,0,0,0,0,0
White Wedding,RF,White Wedding (RF),2018,0.038,0,0.05,0.019,0,0,0.019,0.006,0.131,0.006,0,0,0.65,0,0,0,0,0.006,0.075,0,0,0,0,0,0
White Wedding,RF,White Wedding (RF),2019,0.019,0.006,0.013,0,0,0,0.069,0,0.162,0,0,0,0.569,0.025,0,0,0,0.044,0.081,0,0.013,0,0,0,0
White Wedding,RF,White Wedding (RF),2020,0.006,0,0.062,0,0,0,0.031,0,0.419,0,0,0,0.425,0.038,0,0,0,0.019,0,0,0,0,0,0,0
White Wedding,RF,White Wedding (RF),2021,0.013,0,0.019,0.025,0,0,0.056,0,0.125,0,0.031,0,0.594,0.044,0,0,0,0.094,0,0,0,0,0,0,0
White Wedding,RF,White Wedding (RF),2022,0.062,0,0.006,0.006,0,0,0.081,0.031,0.225,0.006,0,0,0.406,0.006,0,0,0,0.162,0.006,0,0,0,0,0,0
White Wedding,RF,White Wedding (RF),2023,0.1,0,0.013,0.006,0,0,0.025,0,0.269,0,0,0,0.494,0.025,0,0,0,0.038,0.025,0,0.006,0,0,0,0
White Wedding,RF,White Wedding (RF),2024,0.044,0.013,0.013,0.006,0,0,0,0.006,0.344,0,0,0,0.438,0,0,0,0,0.013,0.112,0,0.013,0,0,0,0
Canyons,RS,Canyons (RS),2013,0.006,0.006,0.488,0.006,0.131,0.062,0.088,0.106,0.094,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canyons,RS,Canyons (RS),2014,0.025,0,0.319,0.05,0.138,0.069,0.025,0.038,0.262,0.006,0.025,0.019,0.025,0,0,0,0,0,0,0,0,0,0,0,0
Canyons,RS,Canyons (RS),2015,0,0,0.425,0.038,0.131,0.031,0.019,0,0.35,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canyons,RS,Canyons (RS),2016,0.006,0.038,0.637,0.019,0.062,0.038,0.031,0.013,0.119,0,0.031,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0
Canyons,RS,Canyons (RS),2017,0.006,0,0.312,0.069,0.144,0.056,0.062,0.038,0.206,0,0.019,0,0,0.062,0.006,0.013,0.006,0,0,0,0,0,0,0,0
Canyons,RS,Canyons (RS),2018,0,0.013,0.506,0.038,0.094,0.013,0.019,0,0.294,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canyons,RS,Canyons (RS),2019,0,0,0.481,0.038,0.125,0.013,0.081,0.019,0.169,0,0.019,0,0,0.05,0,0,0,0.006,0,0,0,0,0,0,0
Canyons,RS,Canyons (RS),2020,0.025,0,0.619,0.019,0.075,0.025,0.013,0,0.212,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0
Canyons,RS,Canyons (RS),2021,0.006,0,0.531,0.05,0.056,0.031,0.025,0.013,0.162,0,0.056,0,0,0.05,0,0,0,0,0.006,0.013,0,0,0,0,0
Canyons,RS,Canyons (RS),2022,0,0,0.55,0.069,0.025,0.075,0.044,0,0.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canyons,RS,Canyons (RS),2023,0,0.013,0.35,0.056,0.188,0,0.056,0.1,0.169,0.006,0.031,0,0.025,0,0,0,0,0,0.006,0,0,0,0,0,0
Canyons,RS,Canyons (RS),2024,0,0.013,0.412,0.013,0.006,0.062,0.006,0.013,0.45,0,0.013,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0
