datetime,DATE,REEF,SITE,RESEARCH_SITE,SUBSTRATE_000,SUBSTRATE_001,SUBSTRATE_002,SUBSTRATE_003,SUBSTRATE_004,SUBSTRATE_005,SUBSTRATE_006,SUBSTRATE_007,SUBSTRATE_008,SUBSTRATE_009,SUBSTRATE_010,SUBSTRATE_011,SUBSTRATE_012,SUBSTRATE_013,SUBSTRATE_014,SUBSTRATE_015,SUBSTRATE_016,SUBSTRATE_017,SUBSTRATE_018,SUBSTRATE_019,SUBSTRATE_020,SUBSTRATE_021,SUBSTRATE_022,SUBSTRATE_023,SUBSTRATE_024,SUBSTRATE_025,SUBSTRATE_026,SUBSTRATE_027,SUBSTRATE_028,SUBSTRATE_029,SUBSTRATE_030,SUBSTRATE_031,SUBSTRATE_032,SUBSTRATE_033,SUBSTRATE_034,SUBSTRATE_035,SUBSTRATE_036,SUBSTRATE_037,SUBSTRATE_038,SUBSTRATE_039,SUBSTRATE_040,SUBSTRATE_041,SUBSTRATE_042,SUBSTRATE_043,SUBSTRATE_044,SUBSTRATE_045,SUBSTRATE_046,SUBSTRATE_047,SUBSTRATE_048,SUBSTRATE_049,SUBSTRATE_050,SUBSTRATE_051,SUBSTRATE_052,SUBSTRATE_053,SUBSTRATE_054,SUBSTRATE_055,SUBSTRATE_056,SUBSTRATE_057,SUBSTRATE_058,SUBSTRATE_059,SUBSTRATE_060,SUBSTRATE_061,SUBSTRATE_062,SUBSTRATE_063,SUBSTRATE_064,SUBSTRATE_065,SUBSTRATE_066,SUBSTRATE_067,SUBSTRATE_068,SUBSTRATE_069,SUBSTRATE_070,SUBSTRATE_071,SUBSTRATE_072,SUBSTRATE_073,SUBSTRATE_074,SUBSTRATE_075,SUBSTRATE_076,SUBSTRATE_077,SUBSTRATE_078,SUBSTRATE_079,SUBSTRATE_080,SUBSTRATE_081,SUBSTRATE_082,SUBSTRATE_083,SUBSTRATE_084,SUBSTRATE_085,SUBSTRATE_086,SUBSTRATE_087,SUBSTRATE_088,SUBSTRATE_089,SUBSTRATE_090,SUBSTRATE_091,SUBSTRATE_092,SUBSTRATE_093,SUBSTRATE_094,SUBSTRATE_095,SUBSTRATE_096,SUBSTRATE_097,SUBSTRATE_098,SUBSTRATE_099,SUBSTRATE_100,SUBSTRATE_101,SUBSTRATE_102,SUBSTRATE_103,SUBSTRATE_104,SUBSTRATE_105,SUBSTRATE_106,SUBSTRATE_107,SUBSTRATE_108,SUBSTRATE_109,SUBSTRATE_110,SUBSTRATE_111,SUBSTRATE_112,SUBSTRATE_113,SUBSTRATE_114,SUBSTRATE_115,SUBSTRATE_116,SUBSTRATE_117,SUBSTRATE_118,SUBSTRATE_119,SUBSTRATE_120,SUBSTRATE_121,SUBSTRATE_122,SUBSTRATE_123,SUBSTRATE_124,SUBSTRATE_125,SUBSTRATE_126,SUBSTRATE_127,SUBSTRATE_128,SUBSTRATE_129,SUBSTRATE_130,SUBSTRATE_131,SUBSTRATE_132,SUBSTRATE_133,SUBSTRATE_134,SUBSTRATE_135,SUBSTRATE_136,SUBSTRATE_137,SUBSTRATE_138,SUBSTRATE_139,SUBSTRATE_140,SUBSTRATE_141,SUBSTRATE_142,SUBSTRATE_143,SUBSTRATE_144,SUBSTRATE_145,SUBSTRATE_146,SUBSTRATE_147,SUBSTRATE_148,SUBSTRATE_149,SUBSTRATE_150,SUBSTRATE_151,SUBSTRATE_152,SUBSTRATE_153,SUBSTRATE_154,SUBSTRATE_155,SUBSTRATE_156,SUBSTRATE_157,SUBSTRATE_158,SUBSTRATE_159,MACROALGAE_1,MACROALGAE_2,MACROALGAE_3,MACROALGAE_4
12/11/2014 0:00,12/11/2014,Heron Reef,Blue Pools,1,RCTA,HCBR,RCTA,RCTA,HCE,HCBR,RCTA,HCF,HCF,RB,RB,HCP,HCBR,HCBR,RCTA,RB,HCE,HCP,HCE,HCE,HCB,RB,RB,RCTA,RCTA,RCTA,RCTA,RCCA,RCCA,RCTA,RCTA,RCTA,RCTA,SPE,RCTA,RCTA,RCTA,RCTA,RCTA,HCP,RCTA,RCCA,HCBR,HCP,HCP,HCE,HCBR,HCBR,HCBR,RCCA,RCTA,HCF,HCP,HCE,HCP,HCP,SPE,HCE,HCP,RCTA,RCTA,RCTA,RCTA,HCBR,HCF,HCE,RCCA,HCF,RCCA,HCE,HCP,HCE,HCBR,RCTA,HCE,HCP,HCBR,HCP,HCBR,HCBR,RCCA,HCP,HCBR,RCTA,SD,SD,RB,HCBR,RCCA,RCTA,RCCA,RCCA,RCTA,HCM,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,HCBR,HCP,HCBR,HCB,HCBR,HCB,RCCA,RCTA,RCTA,RCTA,RB,HCBR,RCTA,RCTA,RB,RCTA,HCBR,RB,RCTA,RCCA,RCTA,RB,RCTA,RCTA,RCTA,HCP,HCBR,RCTA,RCTA,SD,RCTA,HCP,RCTA,RCTA,RCTA,RCTA,HCBR,RCTA,RCTA,RCTA,HCB,HCB,SD,RCTA,RCTA,RCTA,RCTA,RCTA,HCP,SD,HCP,HCP,RCTA,RCTA,RCCA,SCL,SCL,RCCA,HCP,0,0,0,0
20/11/2020 10:53,20/11/2020,Heron Reef,Blue Pools,1,RCCA,HCP,HCP,HCBR,HCBR,OT,RCTA,HCE,HCF,HCP,HCBR,HCBR,HCBR,HCBR,HCE,SD,HCF,HCBR,HCP,HCM,RB,HCBR,HCBR,HCBR,HCBR,RCTA,HCBR,HCBR,HCP,HCP,HC,HCP,HCP,HCP,SD,HCBR,HCBR,HCBR,HC,RCCA,HCBR,RCTA,RCTA,HCBR,HCBR,RCTA,HCF,HCF,HCBR,HCP,HCP,HCBR,HCP,HCF,HCF,HCE,HCBR,HCBR,HC,RB,HCP,HCP,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCP,HCP,RCCA,HCP,HCP,HCP,HCP,HCP,HCP,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,RCCA,HCBR,RCCA,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,RCCA,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,SD,RCTA,RCTA,RCTA,HCP,HCP,HCBR,SD,HCP,HCP,RCCA,HCP,HCP,HCP,RCTA,HCP,RCCA,HCBR,RCCA,HCP,HCBR,HCBR,RCCA,HCP,RCTA,RCTA,HCBR,HCBR,SD,HCBR,HCBR,HCBR,HCBR,RKCTA,HCBR,HCBR,HCF,HCF,HCF,SD,HCBR,HCBR,SD,RCTA,HCF,HCBR,HCF,0,0,0,0
3/11/2017 0:00,3/11/2017,Heron Reef,Blue Pools,1,RCTA,RB,RCTA,SD,HCB,HCBR,HCBR,RB,HCBR,HCF,HCE,SD,RCTA,RB,SD,HCF,RCTA,RCCA,RCCA,HCE,HCP,HCP,HCBR,RCTA,RCTA,HCP,HCP,HCP,HCBR,HCBR,RCCA,HCBR,RCTA,RCTA,HCBR,RCCA,RCTA,RCTA,RB,RCTA,HCP,RCTA,RCTA,NIA,RCTA,RCCA,HCBR,HCBR,RCTA,RCTA,HCP,HCP,HCE,SD,RCTA,RCTA,RCTA,HCF,HCF,RCTA,HCP,SD,SD,SD,RCTA,HCBR,HCB,SI,HCBR,RCTA,SD,HCBR,HCP,HCP,HCP,HCF,RCTA,HCB,SD,SI,RCTA,HCBR,HCBR,HCBR,HCBR,HCBR,HCP,RCCA,HCP,HCBR,HC,HCBR,HCP,HC,SPE,HCBR,HCP,HCBR,RCCA,HC,HCBR,HCF,HCP,HCBR,HCBR,HCBR,HCBR,HCBR,HCB,HCBR,HCBR,HCP,HCB,HCBR,HCBR,RCTA,RCCA,RCCA,RCTA,RCTA,RCCA,RCCA,NIA,HCBR,RCCA,RCCA,RCCA,RCCA,HCP,HCP,RCTA,HCB,RCTA,RB,RB,HCP,HCP,RCCA,HCB,HCP,HCP,RCTA,RCCA,SI,HC,RCTA,RCCA,RCTA,HCP,RCCA,HCE,SP,RCTA,RCTA,HCB,HCE,HCBR,RCTA,HCBR,RCTA,0,0,0,0
9/11/2022 11:15,9/11/2022,Heron Reef,Blue Pools,1,RCCA,RCTA,HCP,HC,RCTA,HCP,HCP,RCTA,HCF,HCF,HCF,HCF,HCF,RCTA,HCP,HCF,RCTA,HC,HCP,RCTA,HCF,HC,RCTA,HCF,HCF,HCE,HCE,SD,SD,RB,RB,HC,RB,HC,HCE,HC,HCF,HCF,HCP,RB,RKCTA,HCP,HC,HCF,HCF,RCTA,HCP,HCF,HC,RCTA,HCF,HCP,HC,RCTA,RB,RB,NIA,RCTA,HCM,HCE,HCBR,HCBR,RB,RB,RB,HCBR,RB,RB,HCBR,NIA,RCTA,RCTA,HCP,HCP,HCF,HCBR,RCTA,HCP,RCTA,HCP,SD,SD,HCF,HCF,HCF,HCF,HCF,HCF,RCTA,SD,RB,HCF,HCE,HCP,HCF,HCP,HCF,HCF,HCF,HCF,NIA,HCF,HCE,SD,HCF,HCF,HCP,HCF,HCF,HCF,RCCA,RB,HCP,RCCA,HCF,RCTA,HCF,HCP,HCP,RCCA,HCBR,HCBR,HCP,HCE,HCBR,HCF,HCBR,HCBR,HCBR,HCF,HCBR,HCBR,RCTA,HCF,HCBR,HCM,RCTA,HCP,HCBR,RCTA,HCP,HC,HCF,HCE,HCP,HCP,HCP,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,0,0,0,0
29/10/2024 10:00,29/10/2024,Heron Reef,Blue Pools,1,OT,RCCA,OT,RCTA,HCBR,RCTA,HCBR,HCBR,HCBR,RCTA,OT,HCBR,HCBR,OT,HCBR,HCBR,RCTA,OT,NIA,HCBR,OT,SI,HCBR,HCE,HCE,HCP,HCP,HCP,RCTA,RCTA,RCTA,HCP,RCTA,RCTA,HCP,OT,OT,OT,NIA,RCTA,HCBR,HCBR,HCBR,HCF,HCBR,RCTA,RCTA,HCF,RCTA,HCF,HCBR,HCBR,RCCA,RCTA,HCE,HCE,HCF,HCE,RCTA,RCTA,HCP,HCE,SCL,RCTA,OT,RCTA,NIA,RCTA,HCBR,HCBR,RCTA,NIA,RCTA,RCTA,HCP,HCP,HCP,HCP,HCP,HCBR,HCE,HCBR,RCTA,OT,RCTA,RCTA,HCF,RB,RCTA,HCBR,HCBR,HCBR,HCBR,HCF,RCTA,RCTA,RCTA,RCTA,RCTA,RB,RCTA,HCBR,HCBR,OT,OT,RCCA,RCTA,HCBR,RCTA,RCTA,HCBR,HCBR,HCBR,RCTA,RCTA,RCTA,RCTA,SD,HCE,RCTA,HCBR,RCTA,RCCA,OT,RCCA,RCCA,RB,RB,RCCA,NIA,RCTA,RCCA,RCTA,OT,RCTA,HCBR,OT,HCE,RB,RCTA,NIA,HCE,RB,RB,RB,OT,RCTA,RKCTA,OT,RCCA,RCTA,RCTA,RCCA,HCBR,RCTA,RCTA,RCCA,RCTA,HCBR,HCBR,0,0,0,0
29/10/2017 0:00,29/10/2017,Heron Reef,Canyons,1,RB,RCTA,RCTA,RB,RCTA,RCTA,RCTA,HCBR,RCTA,HCBR,HCBR,HCBR,RCCA,RCTA,RCTA,RB,HCBR,HCE,RCCA,RB,RB,HCBR,HCBR,RCTA,RCCA,RCTA,HCBR,HCBR,RCTA,RCTA,HCBR,HCF,HCP,HCP,HCP,HCBR,HCBR,HCBR,HCBR,HCBR,HCP,HCBR,HCBR,RCTA,HCBR,HCF,SCL,HCF,HCF,HCF,HCF,HCF,HCF,HCF,HCBR,HCF,HCBR,HCBR,HCE,HCE,HCF,HCF,RCCA,RC,HCF,HCF,HCE,RCTA,RCTA,RCTA,HC,HCBR,RCTA,RC,HCF,RC,RC,RC,RC,RB,HCP,HCE,HCBR,HCP,HCE,HCF,HCBR,HCBR,RCTA,HCBR,RCTA,RCTA,RCTA,HCBR,HCBR,HCBR,HCBR,HCF,HCBR,HCBR,HCBR,HCBR,RCTA,HCP,HCP,HCBR,RC,HCBR,HCBR,HCE,RB,RCCA,RC,RCTA,HCE,HCBR,HCBR,HCBR,HCBR,RCTA,RCTA,HCBR,HCBR,HCBR,HCBR,HCM,RCTA,HCF,RCCA,RCTA,RCTA,RCTA,HCBR,HCBR,HCF,HCF,HCE,SCL,HCF,RB,RB,RCTA,HCE,RC,HCBR,HCF,RCTA,SPE,RKC,HCE,RC,RB,HCM,HCBR,HCF,RCTA,HCBR,HCM,RCTA,HCP,0,0,0,0
18/9/2016 0:00,18/9/2016,Heron Reef,Canyons,1,HCBR,HCBR,HCBR,RCTA,RCTA,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,RCCA,HCBR,HCBR,HCF,RCTA,HCBR,HCBR,HCBR,HCBR,HCBR,HCM,HCE,HCP,HCP,HCBR,RCTA,HCB,RCTA,RCTA,RCTA,HCBR,HCBR,RCTA,HCB,HCB,HCBR,RCTA,HCBR,HCBR,HCBR,HCBR,RCTA,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HC,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,RCTA,HCB,HCBR,HCBR,HCBR,RB,HCBR,HCBR,RB,RCTA,RB,RB,RB,HCE,HCBR,HCBR,RCTA,RCTA,HCBR,HCBR,HCBR,HCBR,HCE,HCBR,HCF,HCF,HCF,HCF,HCBR,HCBR,HCBR,HCBR,HCF,HCBR,HCBR,HCBR,HCBR,RCCA,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,RCTA,HCP,HCBR,HCF,RC,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCB,HCBR,HCM,HCBR,HCBR,HCF,HCF,HCM,HCP,HCP,HCP,HCBR,HCB,RCTA,RCTA,HCBR,HCBR,RCTA,HCM,HCM,HCBR,HCBR,HCF,HCBR,RCTA,0,0,0,0
21/11/2020 12:55,21/11/2020,Heron Reef,Canyons,1,HCF,HCF,HCE,HCBR,HCP,HCBR,HCBR,HCBR,RCTA,HCBR,HCBR,RCTA,HC,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,RCTA,RCTA,RCTA,RCTA,RCTA,HCBR,RCTA,RCTA,RKC,RCTA,HCBR,HCBR,HCBR,HCBR,RCTA,RCTA,HCBR,HCBR,RCTA,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,RCTA,RCTA,HCBR,HCF,HCBR,HCBR,HCBR,HC,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,RKC,HCP,HCP,HCP,HCE,HCBR,HCF,HCF,RCTA,RCTA,RCTA,RCTA,HCF,HCBR,RCTA,HCF,HCF,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCF,HC,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCF,HCF,HCBR,RCTA,RCTA,HCBR,HCBR,HCBR,HCF,RB,RB,HCBR,HCBR,HCBR,HCBR,RCTA,HCBR,HCBR,HCBR,HCBR,HCBR,HC,HCE,HCBR,HCBR,RCTA,RCTA,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,RCTA,RCTA,HCBR,HCBR,RCTA,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,RCTA,HCBR,RCTA,HCBR,RCTA,HCBR,RCTA,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,RCTA,RCTA,0,0,0,0
26/10/2019 15:40,26/10/2019,Heron Reef,Canyons,1,RCTA,RB,RB,HCF,HCF,HCBR,RB,RB,HCBR,HCBR,HCBR,HCF,HCF,HCF,HCF,HCF,HCF,HCF,HCE,RCCA,RCTA,HCBR,HCBR,HCBR,HCBR,HCE,RCCA,RC,RCTA,HCBR,HCBR,HCBR,HCBR,HCE,HCBR,RCTA,HCBR,HCBR,HCBR,RCTA,HCBR,RC,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCE,RB,RCTA,HCF,HCBR,RCTA,HCF,HCBR,HCF,HCBR,HCF,HCM,HCF,HCBR,HCBR,HCBR,HCBR,RB,RB,RB,RB,HCP,HCBR,HCM,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,RCTA,HCE,HCBR,RC,HCBR,OT,HCBR,HCBR,HCBR,HCF,RCTA,HCBR,HCBR,HCE,RC,HCBR,HCBR,HCBR,HCM,RC,RC,RB,RC,RCTA,RCTA,HCBR,HCBR,HCBR,HCBR,RCTA,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,RCTA,RCCA,RCTA,RCTA,HCBR,RB,RCTA,RB,RC,HCF,HCF,HCF,RCTA,HCF,RCTA,RCTA,RCTA,RCTA,RB,RCTA,RCTA,HCBR,HCBR,HCF,HCBR,HCBR,HCP,RCTA,RCTA,RCTA,RCTA,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,0,0,0,0
1/10/2023 16:20,1/10/2023,Heron Reef,Canyons,1,RCCA,HCF,HCBR,HCBR,HCF,HCF,RCCA,HCBR,HCF,HCF,HCF,HCBR,RCTA,HCBR,HCB,RCTA,RCTA,HCBR,HCBR,HCBR,RB,HCF,HCF,HCBR,RB,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,RCCA,SC,RCCA,HCE,HCE,RCCA,HCE,RB,HCBR,HCE,RCCA,HCF,HCBR,RB,HCM,HCE,RCTA,HCE,SD,HCE,RCTA,RB,RB,SD,SD,RCTA,HCBR,RB,RCTA,HCM,HCM,HCBR,HCBR,HCBR,HCBR,HCF,HCF,SD,HCBR,HCBR,HCBR,HCB,HCF,RCCA,HCF,RCTA,HCBR,RCCA,HCBR,HCBR,HCE,HCF,HCF,HCM,HCBR,HCF,HCF,HCF,RCTA,RCTA,RCTA,RCTA,HCBR,HCBR,HCBR,RCTA,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,HCBR,RCTA,RCTA,HCBR,HCBR,NIA,RCTA,RCTA,HCBR,HCBR,HCBR,HCBR,RCTA,RCTA,HCBR,HCBR,HCF,HCF,HCBR,RB,HCBR,HCBR,HCF,HCF,HCBR,RCTA,HCF,HCF,RCTA,HCF,HCBR,HCBR,RCCA,RCCA,RCCA,RCCA,RCTA,HCF,RCCA,RCCA,RCCA,HCF,HCBR,HCBR,RCTA,HCM,RCTA,RCTA,RCCA,RCTA,HCF,HCF,HCF,RB,HCE,RCTA,0,0,0,0
