"SITE","year","substrate_group","Proportion"
"Canyons","2013","HC",0.693
"Canyons","2013","HCB",0.006
"Canyons","2013","NIA",0
"Canyons","2013","NL",0.288
"Canyons","2013","NR",0
"Canyons","2013","OT",0
"Canyons","2013","RKC",0
"Canyons","2013","SC",0.013
"Canyons","2013","SP",0
"Canyons","2014","HC",0.626
"Canyons","2014","HCB",0
"Canyons","2014","NIA",0
"Canyons","2014","NL",0.35
"Canyons","2014","NR",0
"Canyons","2014","OT",0
"Canyons","2014","RKC",0.019
"Canyons","2014","SC",0.006
"Canyons","2014","SP",0
"Canyons","2015","HC",0.631
"Canyons","2015","HCB",0
"Canyons","2015","NIA",0
"Canyons","2015","NL",0.369
"Canyons","2015","NR",0
"Canyons","2015","OT",0
"Canyons","2015","RKC",0
"Canyons","2015","SC",0
"Canyons","2015","SP",0
"Canyons","2016","HC",0.793
"Canyons","2016","HCB",0.038
"Canyons","2016","NIA",0
"Canyons","2016","NL",0.169
"Canyons","2016","NR",0
"Canyons","2016","OT",0
"Canyons","2016","RKC",0
"Canyons","2016","SC",0
"Canyons","2016","SP",0
"Canyons","2017","HC",0.606
"Canyons","2017","HCB",0
"Canyons","2017","NIA",0
"Canyons","2017","NL",0.368
"Canyons","2017","NR",0
"Canyons","2017","OT",0
"Canyons","2017","RKC",0.006
"Canyons","2017","SC",0.013
"Canyons","2017","SP",0.006
"Canyons","2018","HC",0.676
"Canyons","2018","HCB",0.013
"Canyons","2018","NIA",0
"Canyons","2018","NL",0.313
"Canyons","2018","NR",0
"Canyons","2018","OT",0
"Canyons","2018","RKC",0
"Canyons","2018","SC",0
"Canyons","2018","SP",0
"Canyons","2019","HC",0.676
"Canyons","2019","HCB",0
"Canyons","2019","NIA",0
"Canyons","2019","NL",0.319
"Canyons","2019","NR",0
"Canyons","2019","OT",0.006
"Canyons","2019","RKC",0
"Canyons","2019","SC",0
"Canyons","2019","SP",0
"Canyons","2020","HC",0.763
"Canyons","2020","HCB",0
"Canyons","2020","NIA",0
"Canyons","2020","NL",0.225
"Canyons","2020","NR",0
"Canyons","2020","OT",0
"Canyons","2020","RKC",0.013
"Canyons","2020","SC",0
