ActivityID,Latitude,Longitude,SITE,Site_Name,Group_name,Submitted_by,Observation_date,DATE,Time,Light condition,Depth_metres,Water_temp_deg. C,Activity,Coral_No,Colour_Code_Lightest,Colour_Code_Darkest,Average_Colour,Coral_Type
2289d24a-c61d-4d29-a2db-61751ace470a,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",CoralWatch Ambassadors,Cassie Nicole,2024-12-15T14:00:00Z,15/12/2024,2:30 pm,Full sunshine,0.5,26,Reef walking,1,E4,E5,4.5,Branching corals
7a23c581-ccf6-468b-99f1-eb1c21b9c889,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",CoralWatch Ambassadors,Cassie Nicole,2024-12-15T14:00:00Z,15/12/2024,2:30 pm,Full sunshine,0.5,26,Reef walking,1,C1,B6,3.5,Soft corals
7a23c581-ccf6-468b-99f1-eb1c21b9c889,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",CoralWatch Ambassadors,Cassie Nicole,2024-12-15T14:00:00Z,15/12/2024,2:30 pm,Full sunshine,0.5,26,Reef walking,2,C1,E6,3.5,Branching corals
7a23c581-ccf6-468b-99f1-eb1c21b9c889,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",CoralWatch Ambassadors,Cassie Nicole,2024-12-15T14:00:00Z,15/12/2024,2:30 pm,Full sunshine,0.5,26,Reef walking,3,B2,E5,3.5,Boulder corals
7a23c581-ccf6-468b-99f1-eb1c21b9c889,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",CoralWatch Ambassadors,Cassie Nicole,2024-12-15T14:00:00Z,15/12/2024,2:30 pm,Full sunshine,0.5,26,Reef walking,4,C2,E5,3.5,Boulder corals
7a23c581-ccf6-468b-99f1-eb1c21b9c889,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",CoralWatch Ambassadors,Cassie Nicole,2024-12-15T14:00:00Z,15/12/2024,2:30 pm,Full sunshine,0.5,26,Reef walking,5,D3,D6,4.5,Branching corals
7a23c581-ccf6-468b-99f1-eb1c21b9c889,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",CoralWatch Ambassadors,Cassie Nicole,2024-12-15T14:00:00Z,15/12/2024,2:30 pm,Full sunshine,0.5,26,Reef walking,6,C2,E4,3,Branching corals
7a23c581-ccf6-468b-99f1-eb1c21b9c889,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",CoralWatch Ambassadors,Cassie Nicole,2024-12-15T14:00:00Z,15/12/2024,2:30 pm,Full sunshine,0.5,26,Reef walking,7,C2,C3,2.5,Boulder corals
7a23c581-ccf6-468b-99f1-eb1c21b9c889,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",CoralWatch Ambassadors,Cassie Nicole,2024-12-15T14:00:00Z,15/12/2024,2:30 pm,Full sunshine,0.5,26,Reef walking,8,B3,D4,3.5,Branching corals
7a23c581-ccf6-468b-99f1-eb1c21b9c889,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",CoralWatch Ambassadors,Cassie Nicole,2024-12-15T14:00:00Z,15/12/2024,2:30 pm,Full sunshine,0.5,26,Reef walking,9,C2,E5,3.5,Branching corals
