year,survey_id,SITE,site_type,SITE_label,DATE,Activity,Coral_No,Colour_Code_Lightest,Colour_Code_Darkest,Average_Colour,Coral_Type,Type,Colour_Code_num,health
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,1,E2,E4,3,Branching corals,Lightest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,1,E2,E4,3,Branching corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,2,E2,E2,2,Branching corals,Lightest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,2,E2,E2,2,Branching corals,Darkest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,3,E3,E4,3.5,Branching corals,Lightest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,3,E3,E4,3.5,Branching corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,4,D2,D4,3,Branching corals,Lightest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,4,D2,D4,3,Branching corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,5,B3,E4,3.5,Branching corals,Lightest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,5,B3,E4,3.5,Branching corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,6,E3,E5,4,Plate corals,Lightest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,6,E3,E5,4,Plate corals,Darkest_num,5,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,7,D2,D3,2.5,Branching corals,Lightest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,7,D2,D3,2.5,Branching corals,Darkest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,8,E4,E5,4.5,Branching corals,Lightest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,8,E4,E5,4.5,Branching corals,Darkest_num,5,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,9,E4,E5,4.5,Branching corals,Lightest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,9,E4,E5,4.5,Branching corals,Darkest_num,5,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,10,D2,D4,3,Branching corals,Lightest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,10,D2,D4,3,Branching corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,12,D4,D4,4,Plate corals,Lightest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,12,D4,D4,4,Plate corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,13,E3,E4,3.5,Plate corals,Lightest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,13,E3,E4,3.5,Plate corals,Darkest_num,4,not bleached
