SITE,SITE_label,site_type,year,n_bleached_obs,n_observations,prop_bleach_obs
Canyons,Canyons (SS),SS,2013,2,36,0.05555555555555555
Canyons,Canyons (SS),SS,2014,10,38,0.2631578947368421
Canyons,Canyons (SS),SS,2015,0,40,0
Canyons,Canyons (SS),SS,2016,1,38,0.02631578947368421
Canyons,Canyons (SS),SS,2017,4,86,0.046511627906976744
Canyons,Canyons (SS),SS,2018,0,40,0
Canyons,Canyons (SS),SS,2019,0,40,0
Canyons,Canyons (SS),SS,2020,15,346,0.04335260115606936
Canyons,Canyons (SS),SS,2021,5,248,0.020161290322580645
Canyons,Canyons (SS),SS,2022,1,110,0.00909090909090909
Canyons,Canyons (SS),SS,2023,1,112,0.008928571428571428
Canyons,Canyons (SS),SS,2024,15,160,0.09375
Cappuccino,Cappuccino (NF),NF,2013,0,40,0
Cappuccino,Cappuccino (NF),NF,2014,9,80,0.1125
Cappuccino,Cappuccino (NF),NF,2015,4,40,0.1
Cappuccino,Cappuccino (NF),NF,2016,3,80,0.0375
Cappuccino,Cappuccino (NF),NF,2017,1,40,0.025
Cappuccino,Cappuccino (NF),NF,2018,3,80,0.0375
Cappuccino,Cappuccino (NF),NF,2020,4,40,0.1
Cappuccino,Cappuccino (NF),NF,2021,0,38,0
Cappuccino,Cappuccino (NF),NF,2022,0,38,0
Cappuccino,Cappuccino (NF),NF,2023,8,120,0.06666666666666667
Cappuccino,Cappuccino (NF),NF,2024,7,114,0.06140350877192982
Coral Cascade,Coral Cascade (NS),NS,2014,0,40,0
Coral Cascade,Coral Cascade (NS),NS,2015,0,36,0
Coral Cascade,Coral Cascade (NS),NS,2017,1,44,0.022727272727272728
Coral Cascade,Coral Cascade (NS),NS,2018,0,36,0
Coral Cascade,Coral Cascade (NS),NS,2021,1,150,0.006666666666666667
Coral Cascade,Coral Cascade (NS),NS,2022,0,40,0
Coral Cascade,Coral Cascade (NS),NS,2023,1,112,0.008928571428571428
Coral Cascade,Coral Cascade (NS),NS,2024,17,120,0.14166666666666666
Coral Grotto,Coral Grotto (NS),NS,2014,3,38,0.07894736842105263
Coral Grotto,Coral Grotto (NS),NS,2015,1,38,0.02631578947368421
Coral Grotto,Coral Grotto (NS),NS,2017,0,76,0
Coral Grotto,Coral Grotto (NS),NS,2018,0,40,0
Coral Grotto,Coral Grotto (NS),NS,2019,0,36,0
Coral Grotto,Coral Grotto (NS),NS,2021,0,36,0
Coral Grotto,Coral Grotto (NS),NS,2022,8,94,0.0851063829787234
Coral Grotto,Coral Grotto (NS),NS,2023,2,68,0.029411764705882353
Coral Grotto,Coral Grotto (NS),NS,2024,22,148,0.14864864864864866
Half Way,Half Way (SS),SS,2015,0,34,0
Half Way,Half Way (SS),SS,2016,0,30,0
Half Way,Half Way (SS),SS,2017,0,32,0
Half Way,Half Way (SS),SS,2018,0,28,0
Half Way,Half Way (SS),SS,2019,1,72,0.013888888888888888
Half Way,Half Way (SS),SS,2021,0,38,0
Half Way,Half Way (SS),SS,2022,0,78,0
Half Way,Half Way (SS),SS,2023,1,70,0.014285714285714285
Half Way,Half Way (SS),SS,2024,15,156,0.09615384615384616
Harry's Bommie,Harry's Bommie (SS),SS,2014,0,30,0
Harry's Bommie,Harry's Bommie (SS),SS,2015,3,34,0.08823529411764706
Harry's Bommie,Harry's Bommie (SS),SS,2016,0,40,0
Harry's Bommie,Harry's Bommie (SS),SS,2017,0,38,0
Harry's Bommie,Harry's Bommie (SS),SS,2018,3,36,0.08333333333333333
Harry's Bommie,Harry's Bommie (SS),SS,2019,1,40,0.025
Harry's Bommie,Harry's Bommie (SS),SS,2021,0,34,0
Harry's Bommie,Harry's Bommie (SS),SS,2022,0,60,0
Harry's Bommie,Harry's Bommie (SS),SS,2023,1,112,0.008928571428571428
Harry's Bommie,Harry's Bommie (SS),SS,2024,22,254,0.08661417322834646
Heron Bommie,Heron Bommie (SS),SS,2014,1,34,0.029411764705882353
Heron Bommie,Heron Bommie (SS),SS,2016,0,38,0
Heron Bommie,Heron Bommie (SS),SS,2017,1,36,0.027777777777777776
Heron Bommie,Heron Bommie (SS),SS,2018,5,30,0.16666666666666666
Heron Bommie,Heron Bommie (SS),SS,2019,0,36,0
Heron Bommie,Heron Bommie (SS),SS,2022,5,106,0.04716981132075472
Heron Bommie,Heron Bommie (SS),SS,2023,2,66,0.030303030303030304
Heron Bommie,Heron Bommie (SS),SS,2024,88,500,0.176
