survey_id,SITE,site_type,SITE_label,DATE,year,observations,n_bleach,prop_bleach,bleached
Canyons_2013-11-05,Canyons,SS,Canyons (SS),2013-11-05,2013,36,2,0.05555555555555555,FALSE
Canyons_2014-11-07,Canyons,SS,Canyons (SS),2014-11-07,2014,38,10,0.2631578947368421,TRUE
Canyons_2015-11-23,Canyons,SS,Canyons (SS),2015-11-23,2015,40,0,0,FALSE
Canyons_2016-09-17,Canyons,SS,Canyons (SS),2016-09-17,2016,38,1,0.02631578947368421,FALSE
Canyons_2017-10-28,Canyons,SS,Canyons (SS),2017-10-28,2017,42,0,0,FALSE
Canyons_2017-11-03,Canyons,SS,Canyons (SS),2017-11-03,2017,44,4,0.09090909090909091,FALSE
Canyons_2018-11-13,Canyons,SS,Canyons (SS),2018-11-13,2018,40,0,0,FALSE
Canyons_2019-10-25,Canyons,SS,Canyons (SS),2019-10-25,2019,40,0,0,FALSE
Canyons_2020-09-18,Canyons,SS,Canyons (SS),2020-09-18,2020,12,0,0,FALSE
Canyons_2020-09-19,Canyons,SS,Canyons (SS),2020-09-19,2020,334,15,0.04491017964071856,FALSE
Canyons_2021-10-13,Canyons,SS,Canyons (SS),2021-10-13,2021,208,5,0.02403846153846154,FALSE
Canyons_2021-11-05,Canyons,SS,Canyons (SS),2021-11-05,2021,40,0,0,FALSE
Canyons_2022-11-05,Canyons,SS,Canyons (SS),2022-11-05,2022,36,0,0,FALSE
Canyons_2022-11-06,Canyons,SS,Canyons (SS),2022-11-06,2022,74,1,0.013513513513513514,FALSE
Canyons_2023-09-30,Canyons,SS,Canyons (SS),2023-09-30,2023,36,0,0,FALSE
Canyons_2023-10-30,Canyons,SS,Canyons (SS),2023-10-30,2023,76,1,0.013157894736842105,FALSE
Canyons_2024-10-25,Canyons,SS,Canyons (SS),2024-10-25,2024,42,1,0.023809523809523808,FALSE
Canyons_2024-11-01,Canyons,SS,Canyons (SS),2024-11-01,2024,78,1,0.01282051282051282,FALSE
Cappuccino_2013-11-05,Cappuccino,NF,Cappuccino (NF),2013-11-05,2013,40,0,0,FALSE
Cappuccino_2014-11-11,Cappuccino,NF,Cappuccino (NF),2014-11-11,2014,80,9,0.1125,FALSE
Cappuccino_2015-11-24,Cappuccino,NF,Cappuccino (NF),2015-11-24,2015,40,4,0.1,FALSE
Cappuccino_2016-09-19,Cappuccino,NF,Cappuccino (NF),2016-09-19,2016,80,3,0.0375,FALSE
Cappuccino_2017-11-01,Cappuccino,NF,Cappuccino (NF),2017-11-01,2017,40,1,0.025,FALSE
Cappuccino_2018-09-25,Cappuccino,NF,Cappuccino (NF),2018-09-25,2018,40,0,0,FALSE
Cappuccino_2018-11-11,Cappuccino,NF,Cappuccino (NF),2018-11-11,2018,40,3,0.075,FALSE
Cappuccino_2020-11-18,Cappuccino,NF,Cappuccino (NF),2020-11-18,2020,40,4,0.1,FALSE
