year,SITE,site_type,SITE_label,n_surveys,n_observations,n_bleached_obs,prop_bleach_obs
2013,Cappuccino,NF,Cappuccino (NF),1,40,0,0
2014,Cappuccino,NF,Cappuccino (NF),1,80,9,0.1125
2015,Cappuccino,NF,Cappuccino (NF),1,40,4,0.1
2016,Cappuccino,NF,Cappuccino (NF),1,80,3,0.0375
2017,Cappuccino,NF,Cappuccino (NF),1,40,1,0.025
2018,Cappuccino,NF,Cappuccino (NF),2,80,3,0.0375
2020,Cappuccino,NF,Cappuccino (NF),1,40,4,0.1
2021,Cappuccino,NF,Cappuccino (NF),1,38,0,0
2022,Cappuccino,NF,Cappuccino (NF),1,38,0,0
2023,Cappuccino,NF,Cappuccino (NF),1,120,8,0.06666666666666667
2024,Cappuccino,NF,Cappuccino (NF),1,114,7,0.06140350877192982
2014,Last Resort,NF,Last Resort (NF),1,80,5,0.0625
2016,Last Resort,NF,Last Resort (NF),1,24,1,0.041666666666666664
2023,Last Resort,NF,Last Resort (NF),1,80,0,0
2024,Last Resort,NF,Last Resort (NF),1,40,0,0
2014,White Wedding,NF,White Wedding (NF),1,40,2,0.05
2015,White Wedding,NF,White Wedding (NF),1,38,5,0.13157894736842105
2016,White Wedding,NF,White Wedding (NF),1,78,2,0.02564102564102564
2017,White Wedding,NF,White Wedding (NF),1,40,3,0.075
2018,White Wedding,NF,White Wedding (NF),1,40,0,0
2019,White Wedding,NF,White Wedding (NF),1,38,1,0.02631578947368421
2020,White Wedding,NF,White Wedding (NF),1,38,2,0.05263157894736842
2022,White Wedding,NF,White Wedding (NF),1,40,2,0.05
2023,White Wedding,NF,White Wedding (NF),1,76,0,0
2024,White Wedding,NF,White Wedding (NF),1,40,0,0
2014,Jetty Flat,SF,Jetty Flat (SF),1,70,4,0.05714285714285714
2015,Jetty Flat,SF,Jetty Flat (SF),1,40,3,0.075
2016,Jetty Flat,SF,Jetty Flat (SF),1,38,6,0.15789473684210525
2017,Jetty Flat,SF,Jetty Flat (SF),1,40,8,0.2
2021,Jetty Flat,SF,Jetty Flat (SF),1,30,1,0.03333333333333333
2022,Jetty Flat,SF,Jetty Flat (SF),1,34,0,0
2023,Jetty Flat,SF,Jetty Flat (SF),1,36,0,0
2024,Jetty Flat,SF,Jetty Flat (SF),1,110,2,0.01818181818181818
2013,Research Zone,SF,Research Zone (SF),2,150,13,0.08666666666666667
2014,Research Zone,SF,Research Zone (SF),2,124,11,0.08870967741935484
2015,Research Zone,SF,Research Zone (SF),1,38,2,0.05263157894736842
2016,Research Zone,SF,Research Zone (SF),2,102,4,0.0392156862745098
2017,Research Zone,SF,Research Zone (SF),1,80,9,0.1125
2019,Research Zone,SF,Research Zone (SF),2,82,2,0.024390243902439025
2020,Research Zone,SF,Research Zone (SF),3,734,58,0.07901907356948229
2021,Research Zone,SF,Research Zone (SF),5,844,15,0.017772511848341232
2022,Research Zone,SF,Research Zone (SF),3,218,19,0.0871559633027523
2023,Research Zone,SF,Research Zone (SF),4,904,58,0.06415929203539823
2024,Research Zone,SF,Research Zone (SF),5,344,6,0.01744186046511628
2014,Shark Bay,SF,Shark Bay (SF),1,102,7,0.06862745098039216
2016,Shark Bay,SF,Shark Bay (SF),1,40,0,0
2018,Shark Bay,SF,Shark Bay (SF),1,38,11,0.2894736842105263
2019,Shark Bay,SF,Shark Bay (SF),1,40,1,0.025
2021,Shark Bay,SF,Shark Bay (SF),2,80,0,0
2022,Shark Bay,SF,Shark Bay (SF),1,40,0,0
2023,Shark Bay,SF,Shark Bay (SF),2,112,0,0
2024,Shark Bay,SF,Shark Bay (SF),2,154,2,0.012987012987012988
2014,Coral Cascade,NS,Coral Cascade (NS),1,40,0,0
2015,Coral Cascade,NS,Coral Cascade (NS),1,36,0,0
2017,Coral Cascade,NS,Coral Cascade (NS),1,44,1,0.022727272727272728
2018,Coral Cascade,NS,Coral Cascade (NS),1,36,0,0
2021,Coral Cascade,NS,Coral Cascade (NS),2,150,1,0.006666666666666667
2022,Coral Cascade,NS,Coral Cascade (NS),1,40,0,0
