SITE,site_type,SITE_label,year,substrate_group,Proportion,total_coral,prop_bleached
Cappuccino,NF,Cappuccino (NF),2013,HC,0.188,0.194,NA
Cappuccino,NF,Cappuccino (NF),2013,HCB,0.006,0.194,0.030927835051546393
Cappuccino,NF,Cappuccino (NF),2014,HC,0.237,0.27499999999999997,NA
Cappuccino,NF,Cappuccino (NF),2014,HCB,0.038,0.27499999999999997,0.13818181818181818
Cappuccino,NF,Cappuccino (NF),2015,HC,0.288,0.294,NA
Cappuccino,NF,Cappuccino (NF),2015,HCB,0.006,0.294,0.020408163265306124
Cappuccino,NF,Cappuccino (NF),2016,HC,0.244,0.313,NA
Cappuccino,NF,Cappuccino (NF),2016,HCB,0.069,0.313,0.22044728434504793
Cappuccino,NF,Cappuccino (NF),2017,HC,0.157,0.17,NA
Cappuccino,NF,Cappuccino (NF),2017,HCB,0.013,0.17,0.07647058823529411
Cappuccino,NF,Cappuccino (NF),2018,HC,0.269,0.29400000000000004,NA
Cappuccino,NF,Cappuccino (NF),2018,HCB,0.025,0.29400000000000004,0.08503401360544217
Cappuccino,NF,Cappuccino (NF),2019,HC,0.214,0.22,NA
Cappuccino,NF,Cappuccino (NF),2019,HCB,0.006,0.22,0.027272727272727275
Cappuccino,NF,Cappuccino (NF),2020,HC,0.182,0.188,NA
Cappuccino,NF,Cappuccino (NF),2020,HCB,0.006,0.188,0.031914893617021274
Cappuccino,NF,Cappuccino (NF),2021,HC,0.151,0.151,NA
Cappuccino,NF,Cappuccino (NF),2021,HCB,0,0.151,0
Cappuccino,NF,Cappuccino (NF),2022,HC,0.156,0.162,NA
Cappuccino,NF,Cappuccino (NF),2022,HCB,0.006,0.162,0.037037037037037035
Cappuccino,NF,Cappuccino (NF),2023,HC,0.357,0.357,NA
Cappuccino,NF,Cappuccino (NF),2023,HCB,0,0.357,0
Cappuccino,NF,Cappuccino (NF),2024,HC,0.238,0.244,NA
Cappuccino,NF,Cappuccino (NF),2024,HCB,0.006,0.244,0.02459016393442623
Last Resort,NF,Last Resort (NF),2013,HC,0.095,0.095,NA
Last Resort,NF,Last Resort (NF),2013,HCB,0,0.095,0
Last Resort,NF,Last Resort (NF),2014,HC,0.044,0.044,NA
Last Resort,NF,Last Resort (NF),2014,HCB,0,0.044,0
