SITE,SITE_label,site_type,year,total_coral,HC,HCB,prop_bleached
Cappuccino,Cappuccino (NF),NF,2013,0.194,0.188,0.006,0.030927835051546393
Cappuccino,Cappuccino (NF),NF,2014,0.27499999999999997,0.237,0.038,0.13818181818181818
Cappuccino,Cappuccino (NF),NF,2015,0.294,0.288,0.006,0.020408163265306124
Cappuccino,Cappuccino (NF),NF,2016,0.313,0.244,0.069,0.22044728434504793
Cappuccino,Cappuccino (NF),NF,2017,0.17,0.157,0.013,0.07647058823529411
Cappuccino,Cappuccino (NF),NF,2018,0.29400000000000004,0.269,0.025,0.08503401360544217
Cappuccino,Cappuccino (NF),NF,2019,0.22,0.214,0.006,0.027272727272727275
Cappuccino,Cappuccino (NF),NF,2020,0.188,0.182,0.006,0.031914893617021274
Cappuccino,Cappuccino (NF),NF,2021,0.151,0.151,0,0
Cappuccino,Cappuccino (NF),NF,2022,0.162,0.156,0.006,0.037037037037037035
Cappuccino,Cappuccino (NF),NF,2023,0.357,0.357,0,0
Cappuccino,Cappuccino (NF),NF,2024,0.244,0.238,0.006,0.02459016393442623
Last Resort,Last Resort (NF),NF,2013,0.095,0.095,0,0
Last Resort,Last Resort (NF),NF,2014,0.044,0.044,0,0
Last Resort,Last Resort (NF),NF,2015,0.075,0.075,0,0
Last Resort,Last Resort (NF),NF,2016,0.212,0.206,0.006,0.02830188679245283
Last Resort,Last Resort (NF),NF,2017,0.038,0.019,0.019,0.5
Last Resort,Last Resort (NF),NF,2018,0.11299999999999999,0.075,0.038,0.336283185840708
Last Resort,Last Resort (NF),NF,2019,0.069,0.063,0.006,0.08695652173913043
Last Resort,Last Resort (NF),NF,2020,0.032,0.032,0,0
Last Resort,Last Resort (NF),NF,2021,0.056,0.056,0,0
Last Resort,Last Resort (NF),NF,2022,0.038,0.038,0,0
Last Resort,Last Resort (NF),NF,2023,0.10600000000000001,0.1,0.006,0.056603773584905655
Last Resort,Last Resort (NF),NF,2024,0.044,0.044,0,0
White Wedding,White Wedding (NF),NF,2014,0.1,0.1,0,0
White Wedding,White Wedding (NF),NF,2015,0.137,0.131,0.006,0.0437956204379562
White Wedding,White Wedding (NF),NF,2016,0.069,0.069,0,0
White Wedding,White Wedding (NF),NF,2017,0.139,0.126,0.013,0.0935251798561151
White Wedding,White Wedding (NF),NF,2018,0.107,0.107,0,0
White Wedding,White Wedding (NF),NF,2019,0.038,0.032,0.006,0.15789473684210528
White Wedding,White Wedding (NF),NF,2020,0.068,0.068,0,0
White Wedding,White Wedding (NF),NF,2021,0.088,0.088,0,0
White Wedding,White Wedding (NF),NF,2022,0.074,0.074,0,0
White Wedding,White Wedding (NF),NF,2023,0.119,0.119,0,0
White Wedding,White Wedding (NF),NF,2024,0.076,0.063,0.013,0.17105263157894737
Jetty Flat,Jetty Flat (SF),SF,2013,0.351,0.351,0,0
Jetty Flat,Jetty Flat (SF),SF,2014,0.325,0.312,0.013,0.039999999999999994
Jetty Flat,Jetty Flat (SF),SF,2015,0.356,0.35,0.006,0.016853932584269662
Jetty Flat,Jetty Flat (SF),SF,2016,0.46799999999999997,0.437,0.031,0.06623931623931624
Jetty Flat,Jetty Flat (SF),SF,2017,0.313,0.313,0,0
Jetty Flat,Jetty Flat (SF),SF,2018,0.306,0.293,0.013,0.042483660130718956
Jetty Flat,Jetty Flat (SF),SF,2019,0.238,0.238,0,0
Jetty Flat,Jetty Flat (SF),SF,2020,0.312,0.306,0.006,0.019230769230769232
Jetty Flat,Jetty Flat (SF),SF,2021,0.355,0.355,0,0
Jetty Flat,Jetty Flat (SF),SF,2022,0.287,0.287,0,0
Jetty Flat,Jetty Flat (SF),SF,2023,0.431,0.431,0,0
Jetty Flat,Jetty Flat (SF),SF,2024,0.244,0.244,0,0
Research Zone,Research Zone (SF),SF,2013,0.056,0.056,0,0
Research Zone,Research Zone (SF),SF,2014,0.088,0.088,0,0
Research Zone,Research Zone (SF),SF,2015,0.094,0.094,0,0
Research Zone,Research Zone (SF),SF,2016,0.069,0.069,0,0
Research Zone,Research Zone (SF),SF,2017,0.087,0.087,0,0
Research Zone,Research Zone (SF),SF,2018,0.068,0.068,0,0
Research Zone,Research Zone (SF),SF,2019,0.199,0.193,0.006,0.03015075376884422
Research Zone,Research Zone (SF),SF,2020,0.087,0.087,0,0
Research Zone,Research Zone (SF),SF,2021,0.076,0.076,0,0
Research Zone,Research Zone (SF),SF,2022,0.107,0.107,0,0
Research Zone,Research Zone (SF),SF,2023,0.099,0.099,0,0
Research Zone,Research Zone (SF),SF,2024,0.137,0.131,0.006,0.0437956204379562
Shark Bay,Shark Bay (SF),SF,2013,0.17500000000000002,0.137,0.038,0.2171428571428571
Shark Bay,Shark Bay (SF),SF,2014,0.062,0.062,0,0
Shark Bay,Shark Bay (SF),SF,2015,0.087,0.087,0,0
Shark Bay,Shark Bay (SF),SF,2016,0.069,0.069,0,0
Shark Bay,Shark Bay (SF),SF,2017,0.15000000000000002,0.1,0.05,0.3333333333333333
Shark Bay,Shark Bay (SF),SF,2018,0.169,0.156,0.013,0.07692307692307691
Shark Bay,Shark Bay (SF),SF,2019,0.093,0.093,0,0
Shark Bay,Shark Bay (SF),SF,2020,0.107,0.107,0,0
Shark Bay,Shark Bay (SF),SF,2021,0.075,0.075,0,0
Shark Bay,Shark Bay (SF),SF,2022,0.12000000000000001,0.114,0.006,0.049999999999999996
