SITE,year,site_type,SITE_label,HC,HCB,HCBR,HCE,HCF,HCP,RB,RCCA,RCTA,SC,HCM,RKCTA,SD,RC,RKC,SCL,SPE,OT,NIA,RKCNIA,SI,SP,SCZ,NR,SCB
Cappuccino,2013,NF,Cappuccino (NF),0.013,0.006,0.175,0,0,0,0.081,0.056,0.4,0,0,0.006,0.262,0,0,0,0,0,0,0,0,0,0,0,0
Cappuccino,2014,NF,Cappuccino (NF),0,0.038,0.231,0.006,0,0,0.05,0,0.3,0,0,0,0.338,0,0,0,0,0,0.038,0,0,0,0,0,0
Cappuccino,2015,NF,Cappuccino (NF),0,0.006,0.269,0.006,0.013,0,0.119,0,0.269,0,0,0,0.294,0,0,0,0.013,0.006,0,0.006,0,0,0,0,0
Cappuccino,2016,NF,Cappuccino (NF),0,0.069,0.244,0,0,0,0.056,0.013,0.419,0,0,0,0.144,0.025,0,0,0,0.019,0.013,0,0,0,0,0,0
Cappuccino,2017,NF,Cappuccino (NF),0.006,0.013,0.138,0,0,0,0.025,0.05,0.306,0,0.013,0,0.438,0.006,0,0,0,0,0.006,0,0,0,0,0,0
Cappuccino,2018,NF,Cappuccino (NF),0,0.025,0.25,0,0.019,0,0.038,0.05,0.412,0,0,0,0.169,0,0.013,0,0,0.013,0.013,0,0,0,0,0,0
Cappuccino,2019,NF,Cappuccino (NF),0.013,0.006,0.15,0.038,0,0.013,0.094,0.006,0.456,0,0,0,0.2,0.006,0,0,0,0.013,0,0,0.006,0,0,0,0
Cappuccino,2020,NF,Cappuccino (NF),0.044,0.006,0.069,0.038,0.031,0,0.119,0.031,0.256,0,0,0,0.156,0.2,0,0,0,0.013,0.038,0,0,0,0,0,0
Cappuccino,2021,NF,Cappuccino (NF),0.013,0,0.119,0.013,0.006,0,0.125,0.044,0.5,0,0,0,0.144,0,0,0,0,0.031,0,0.006,0,0,0,0,0
Cappuccino,2022,NF,Cappuccino (NF),0.006,0.006,0.144,0,0.006,0,0.125,0,0,0,0,0.025,0.3,0.35,0.013,0,0,0,0.025,0,0,0,0,0,0
Cappuccino,2023,NF,Cappuccino (NF),0.013,0,0.306,0,0.038,0,0.025,0.006,0.381,0,0,0,0.194,0.013,0,0,0,0.019,0.006,0,0,0,0,0,0
Cappuccino,2024,NF,Cappuccino (NF),0,0.006,0.188,0.031,0.019,0,0.062,0.038,0.425,0,0,0,0.212,0,0,0,0,0,0.019,0,0,0,0,0,0
Last Resort,2013,NF,Last Resort (NF),0.013,0,0.069,0.013,0,0,0.019,0.006,0.044,0,0,0,0.462,0,0,0,0,0,0.375,0,0,0,0,0,0
Last Resort,2014,NF,Last Resort (NF),0,0,0.031,0,0,0,0.075,0,0.212,0,0.013,0,0.462,0.006,0,0,0,0.05,0.15,0,0,0,0,0,0
Last Resort,2015,NF,Last Resort (NF),0,0,0.069,0,0,0,0.275,0,0,0,0.006,0,0.537,0.013,0,0,0,0,0.1,0,0,0,0,0,0
Last Resort,2016,NF,Last Resort (NF),0,0.006,0.2,0,0,0,0.062,0.013,0.156,0,0.006,0,0.3,0,0,0,0,0,0.256,0,0,0,0,0,0
Last Resort,2017,NF,Last Resort (NF),0,0.019,0.013,0.006,0,0,0.006,0.044,0.194,0,0,0,0.562,0.006,0,0,0,0.025,0.125,0,0,0,0,0,0
Last Resort,2018,NF,Last Resort (NF),0.013,0.038,0.062,0,0,0,0.062,0.038,0.2,0,0,0,0.325,0.006,0,0,0,0.031,0.225,0,0,0,0,0,0
Last Resort,2019,NF,Last Resort (NF),0.019,0.006,0.038,0,0,0,0.112,0.031,0.069,0,0.006,0,0.488,0.013,0,0,0,0.044,0.175,0,0,0,0,0,0
Last Resort,2020,NF,Last Resort (NF),0.013,0,0.019,0,0,0,0.038,0.069,0.244,0,0,0,0.406,0,0.013,0,0,0.025,0.169,0.006,0,0,0,0,0
Last Resort,2021,NF,Last Resort (NF),0.006,0,0.05,0,0,0,0.056,0.1,0.075,0,0,0,0.631,0.069,0,0,0,0,0.013,0,0,0,0,0,0
Last Resort,2022,NF,Last Resort (NF),0.013,0,0.025,0,0,0,0.044,0.075,0.144,0,0,0,0.525,0,0,0,0,0.013,0.162,0,0,0,0,0,0
Last Resort,2023,NF,Last Resort (NF),0.019,0.006,0.075,0,0,0,0.05,0.081,0.169,0,0.006,0,0.369,0,0,0,0,0.031,0.188,0,0,0,0,0.006,0
Last Resort,2024,NF,Last Resort (NF),0.025,0,0,0,0,0,0.013,0.038,0.194,0,0.019,0,0.488,0,0,0,0,0,0.219,0,0.006,0,0,0,0
White Wedding,2014,NF,White Wedding (NF),0,0,0.094,0,0,0,0.05,0,0.25,0,0.006,0,0.512,0,0,0,0,0.019,0.069,0,0,0,0,0,0
White Wedding,2015,NF,White Wedding (NF),0,0.006,0.075,0.025,0,0,0.05,0,0.162,0,0.031,0,0.594,0.038,0,0,0,0.006,0,0,0.006,0.006,0,0,0
White Wedding,2016,NF,White Wedding (NF),0.019,0,0.019,0.006,0,0,0.025,0.006,0.169,0.006,0.025,0,0.512,0.094,0,0,0,0.088,0.025,0.006,0,0,0,0,0
White Wedding,2017,NF,White Wedding (NF),0.044,0.013,0.038,0.044,0,0,0.006,0,0.238,0,0,0,0.562,0,0,0,0,0.044,0.013,0,0,0,0,0,0
White Wedding,2018,NF,White Wedding (NF),0.038,0,0.05,0.019,0,0,0.019,0.006,0.131,0.006,0,0,0.65,0,0,0,0,0.006,0.075,0,0,0,0,0,0
White Wedding,2019,NF,White Wedding (NF),0.019,0.006,0.013,0,0,0,0.069,0,0.162,0,0,0,0.569,0.025,0,0,0,0.044,0.081,0,0.013,0,0,0,0
White Wedding,2020,NF,White Wedding (NF),0.006,0,0.062,0,0,0,0.031,0,0.419,0,0,0,0.425,0.038,0,0,0,0.019,0,0,0,0,0,0,0
White Wedding,2021,NF,White Wedding (NF),0.013,0,0.019,0.025,0,0,0.056,0,0.125,0,0.031,0,0.594,0.044,0,0,0,0.094,0,0,0,0,0,0,0
White Wedding,2022,NF,White Wedding (NF),0.062,0,0.006,0.006,0,0,0.081,0.031,0.225,0.006,0,0,0.406,0.006,0,0,0,0.162,0.006,0,0,0,0,0,0
White Wedding,2023,NF,White Wedding (NF),0.1,0,0.013,0.006,0,0,0.025,0,0.269,0,0,0,0.494,0.025,0,0,0,0.038,0.025,0,0.006,0,0,0,0
White Wedding,2024,NF,White Wedding (NF),0.044,0.013,0.013,0.006,0,0,0,0.006,0.344,0,0,0,0.438,0,0,0,0,0.013,0.112,0,0.013,0,0,0,0
Jetty Flat,2013,SF,Jetty Flat (SF),0.013,0,0.319,0.019,0,0,0.006,0.112,0.469,0,0,0,0.019,0,0,0.013,0,0.006,0.025,0,0,0,0,0,0
Jetty Flat,2014,SF,Jetty Flat (SF),0,0.013,0.25,0.062,0,0,0.006,0,0.6,0.006,0,0,0.019,0,0,0,0,0,0.038,0,0,0,0.006,0,0
Jetty Flat,2015,SF,Jetty Flat (SF),0,0.006,0.35,0,0,0,0.006,0,0.619,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0.013,0,0
Jetty Flat,2016,SF,Jetty Flat (SF),0,0.031,0.406,0.031,0,0,0.038,0.194,0.231,0,0,0.019,0,0.019,0,0,0,0.019,0.013,0,0,0,0,0,0
Jetty Flat,2017,SF,Jetty Flat (SF),0,0,0.294,0.019,0,0,0.038,0.006,0.575,0,0,0,0.069,0,0,0,0,0,0,0,0,0,0,0,0
Jetty Flat,2018,SF,Jetty Flat (SF),0.006,0.013,0.262,0.019,0.006,0,0,0.069,0.588,0,0,0.006,0.025,0,0,0,0,0,0.006,0,0,0,0,0,0
Jetty Flat,2019,SF,Jetty Flat (SF),0.025,0,0.15,0.038,0.025,0,0.056,0.031,0.644,0,0,0,0.019,0.013,0,0,0,0,0,0,0,0,0,0,0
Jetty Flat,2020,SF,Jetty Flat (SF),0.006,0.006,0.294,0.006,0,0,0,0,0.588,0,0,0.094,0,0.006,0,0,0,0,0,0,0,0,0,0,0
Jetty Flat,2021,SF,Jetty Flat (SF),0.006,0,0.312,0.031,0.006,0,0.031,0.106,0.344,0,0,0,0.013,0.144,0,0,0,0,0,0,0,0,0.006,0,0
Jetty Flat,2022,SF,Jetty Flat (SF),0,0,0.275,0.006,0.006,0,0.006,0.312,0.356,0,0,0,0,0.031,0,0.006,0,0,0,0,0,0,0,0,0
Jetty Flat,2023,SF,Jetty Flat (SF),0.056,0,0.319,0.056,0,0,0.025,0,0.288,0,0,0,0.025,0.231,0,0,0,0,0,0,0,0,0,0,0
Jetty Flat,2024,SF,Jetty Flat (SF),0,0,0.162,0.069,0,0.013,0.006,0,0.656,0.006,0,0,0.031,0,0,0.019,0,0,0,0,0,0,0.038,0,0
Research Zone,2013,SF,Research Zone (SF),0.025,0,0.025,0.006,0,0,0.05,0,0.05,0,0,0,0.731,0.056,0,0,0,0,0.056,0,0,0,0,0,0
Research Zone,2014,SF,Research Zone (SF),0.05,0,0.013,0,0,0,0.081,0,0.044,0,0.025,0,0.656,0.013,0,0,0,0,0.119,0,0,0,0,0,0
Research Zone,2015,SF,Research Zone (SF),0.006,0,0.069,0,0.019,0,0.081,0,0.075,0.006,0,0,0.7,0.044,0,0,0,0,0,0,0,0,0,0,0
Research Zone,2016,SF,Research Zone (SF),0.069,0,0,0,0,0,0.056,0.013,0.1,0,0,0,0.694,0.031,0,0,0,0,0.038,0,0,0,0,0,0
Research Zone,2017,SF,Research Zone (SF),0.031,0,0.05,0.006,0,0,0.013,0.013,0.144,0,0,0,0.738,0,0,0.006,0,0,0,0,0,0,0,0,0
Research Zone,2018,SF,Research Zone (SF),0,0,0.062,0,0,0,0.025,0.006,0.188,0.006,0.006,0,0.688,0,0,0,0,0,0.019,0,0,0,0,0,0
Research Zone,2019,SF,Research Zone (SF),0.056,0.006,0.131,0,0.006,0,0.088,0.013,0.1,0,0,0.006,0.456,0.05,0,0.006,0,0.013,0.069,0,0,0,0,0,0
Research Zone,2020,SF,Research Zone (SF),0.056,0,0.006,0,0,0.006,0.35,0,0.169,0,0.019,0,0.238,0.144,0,0,0,0,0.013,0,0,0,0,0,0
Research Zone,2021,SF,Research Zone (SF),0.019,0,0.013,0.044,0,0,0.088,0.013,0.088,0,0,0,0.656,0.031,0,0,0,0.031,0.019,0,0,0,0,0,0
Research Zone,2022,SF,Research Zone (SF),0.075,0,0.019,0.013,0,0,0.069,0.038,0.094,0,0,0,0.637,0.013,0,0,0,0,0.038,0,0,0.006,0,0,0
