SITE,site_type,SITE_label,year,substrate_group,Proportion,total_coral,prop_bleached
Cappuccino,RF,Cappuccino (RF),2013,HCB,0.006,0.194,0.030927835051546393
Cappuccino,RF,Cappuccino (RF),2014,HCB,0.038,0.27499999999999997,0.13818181818181818
Cappuccino,RF,Cappuccino (RF),2015,HCB,0.006,0.294,0.020408163265306124
Cappuccino,RF,Cappuccino (RF),2016,HCB,0.069,0.313,0.22044728434504793
Cappuccino,RF,Cappuccino (RF),2017,HCB,0.013,0.17,0.07647058823529411
Cappuccino,RF,Cappuccino (RF),2018,HCB,0.025,0.29400000000000004,0.08503401360544217
Cappuccino,RF,Cappuccino (RF),2019,HCB,0.006,0.22,0.027272727272727275
Cappuccino,RF,Cappuccino (RF),2020,HCB,0.006,0.188,0.031914893617021274
Cappuccino,RF,Cappuccino (RF),2021,HCB,0,0.151,0
Cappuccino,RF,Cappuccino (RF),2022,HCB,0.006,0.162,0.037037037037037035
Cappuccino,RF,Cappuccino (RF),2023,HCB,0,0.357,0
Cappuccino,RF,Cappuccino (RF),2024,HCB,0.006,0.244,0.02459016393442623
Jetty Flat,RF,Jetty Flat (RF),2013,HCB,0,0.351,0
Jetty Flat,RF,Jetty Flat (RF),2014,HCB,0.013,0.325,0.039999999999999994
Jetty Flat,RF,Jetty Flat (RF),2015,HCB,0.006,0.356,0.016853932584269662
Jetty Flat,RF,Jetty Flat (RF),2016,HCB,0.031,0.46799999999999997,0.06623931623931624
Jetty Flat,RF,Jetty Flat (RF),2017,HCB,0,0.313,0
Jetty Flat,RF,Jetty Flat (RF),2018,HCB,0.013,0.306,0.042483660130718956
Jetty Flat,RF,Jetty Flat (RF),2019,HCB,0,0.238,0
Jetty Flat,RF,Jetty Flat (RF),2020,HCB,0.006,0.312,0.019230769230769232
Jetty Flat,RF,Jetty Flat (RF),2021,HCB,0,0.355,0
Jetty Flat,RF,Jetty Flat (RF),2022,HCB,0,0.287,0
Jetty Flat,RF,Jetty Flat (RF),2023,HCB,0,0.431,0
Jetty Flat,RF,Jetty Flat (RF),2024,HCB,0,0.244,0
Last Resort,RF,Last Resort (RF),2013,HCB,0,0.095,0
Last Resort,RF,Last Resort (RF),2014,HCB,0,0.044,0
Last Resort,RF,Last Resort (RF),2015,HCB,0,0.075,0
Last Resort,RF,Last Resort (RF),2016,HCB,0.006,0.212,0.02830188679245283
Last Resort,RF,Last Resort (RF),2017,HCB,0.019,0.038,0.5
Last Resort,RF,Last Resort (RF),2018,HCB,0.038,0.11299999999999999,0.336283185840708
Last Resort,RF,Last Resort (RF),2019,HCB,0.006,0.069,0.08695652173913043
Last Resort,RF,Last Resort (RF),2020,HCB,0,0.032,0
Last Resort,RF,Last Resort (RF),2021,HCB,0,0.056,0
Last Resort,RF,Last Resort (RF),2022,HCB,0,0.038,0
Last Resort,RF,Last Resort (RF),2023,HCB,0.006,0.10600000000000001,0.056603773584905655
Last Resort,RF,Last Resort (RF),2024,HCB,0,0.044,0
Research Zone,RF,Research Zone (RF),2013,HCB,0,0.056,0
Research Zone,RF,Research Zone (RF),2014,HCB,0,0.088,0
Research Zone,RF,Research Zone (RF),2015,HCB,0,0.094,0
Research Zone,RF,Research Zone (RF),2016,HCB,0,0.069,0
Research Zone,RF,Research Zone (RF),2017,HCB,0,0.087,0
Research Zone,RF,Research Zone (RF),2018,HCB,0,0.068,0
Research Zone,RF,Research Zone (RF),2019,HCB,0.006,0.199,0.03015075376884422
Research Zone,RF,Research Zone (RF),2020,HCB,0,0.087,0
Research Zone,RF,Research Zone (RF),2021,HCB,0,0.076,0
Research Zone,RF,Research Zone (RF),2022,HCB,0,0.107,0
Research Zone,RF,Research Zone (RF),2023,HCB,0,0.099,0
Research Zone,RF,Research Zone (RF),2024,HCB,0.006,0.137,0.0437956204379562
Shark Bay,RF,Shark Bay (RF),2013,HCB,0.038,0.17500000000000002,0.2171428571428571
Shark Bay,RF,Shark Bay (RF),2014,HCB,0,0.062,0
Shark Bay,RF,Shark Bay (RF),2015,HCB,0,0.087,0
Shark Bay,RF,Shark Bay (RF),2016,HCB,0,0.069,0
Shark Bay,RF,Shark Bay (RF),2017,HCB,0.05,0.15000000000000002,0.3333333333333333
Shark Bay,RF,Shark Bay (RF),2018,HCB,0.013,0.169,0.07692307692307691
Shark Bay,RF,Shark Bay (RF),2019,HCB,0,0.093,0
Shark Bay,RF,Shark Bay (RF),2020,HCB,0,0.107,0
Shark Bay,RF,Shark Bay (RF),2021,HCB,0,0.075,0
Shark Bay,RF,Shark Bay (RF),2022,HCB,0.006,0.12000000000000001,0.049999999999999996
Shark Bay,RF,Shark Bay (RF),2023,HCB,0,0.188,0
Shark Bay,RF,Shark Bay (RF),2024,HCB,0.006,0.17500000000000002,0.03428571428571428
White Wedding,RF,White Wedding (RF),2014,HCB,0,0.1,0
White Wedding,RF,White Wedding (RF),2015,HCB,0.006,0.137,0.0437956204379562
White Wedding,RF,White Wedding (RF),2016,HCB,0,0.069,0
White Wedding,RF,White Wedding (RF),2017,HCB,0.013,0.139,0.0935251798561151
White Wedding,RF,White Wedding (RF),2018,HCB,0,0.107,0
White Wedding,RF,White Wedding (RF),2019,HCB,0.006,0.038,0.15789473684210528
White Wedding,RF,White Wedding (RF),2020,HCB,0,0.068,0
White Wedding,RF,White Wedding (RF),2021,HCB,0,0.088,0
White Wedding,RF,White Wedding (RF),2022,HCB,0,0.074,0
White Wedding,RF,White Wedding (RF),2023,HCB,0,0.119,0
White Wedding,RF,White Wedding (RF),2024,HCB,0.013,0.076,0.17105263157894737
Canyons,RS,Canyons (RS),2013,HCB,0.006,0.699,0.008583690987124463
Canyons,RS,Canyons (RS),2014,HCB,0,0.626,0
Canyons,RS,Canyons (RS),2015,HCB,0,0.631,0
Canyons,RS,Canyons (RS),2016,HCB,0.038,0.8310000000000001,0.045728038507821894
Canyons,RS,Canyons (RS),2017,HCB,0,0.606,0
Canyons,RS,Canyons (RS),2018,HCB,0.013,0.6890000000000001,0.018867924528301886
Canyons,RS,Canyons (RS),2019,HCB,0,0.676,0
Canyons,RS,Canyons (RS),2020,HCB,0,0.763,0
Canyons,RS,Canyons (RS),2021,HCB,0,0.73,0
Canyons,RS,Canyons (RS),2022,HCB,0,0.719,0
