"SITE","site_type","SITE_label","year","HC","HCB","total_coral","n_bleach"
"Cappuccino","NF","Cappuccino (NF)",2013,30,1,31,1
"Cappuccino","NF","Cappuccino (NF)",2014,38,6,44,6
"Cappuccino","NF","Cappuccino (NF)",2015,46,1,47,1
"Cappuccino","NF","Cappuccino (NF)",2016,39,11,50,11
"Cappuccino","NF","Cappuccino (NF)",2017,25,2,27,2
"Cappuccino","NF","Cappuccino (NF)",2018,43,4,47,4
"Cappuccino","NF","Cappuccino (NF)",2019,34,1,35,1
"Cappuccino","NF","Cappuccino (NF)",2020,29,1,30,1
"Cappuccino","NF","Cappuccino (NF)",2021,24,0,24,0
"Cappuccino","NF","Cappuccino (NF)",2022,25,1,26,1
"Cappuccino","NF","Cappuccino (NF)",2023,57,0,57,0
"Cappuccino","NF","Cappuccino (NF)",2024,38,1,39,1
"Last Resort","NF","Last Resort (NF)",2013,15,0,15,0
"Last Resort","NF","Last Resort (NF)",2014,7,0,7,0
"Last Resort","NF","Last Resort (NF)",2015,12,0,12,0
"Last Resort","NF","Last Resort (NF)",2016,33,1,34,1
"Last Resort","NF","Last Resort (NF)",2017,3,3,6,3
"Last Resort","NF","Last Resort (NF)",2018,12,6,18,6
"Last Resort","NF","Last Resort (NF)",2019,10,1,11,1
"Last Resort","NF","Last Resort (NF)",2020,5,0,5,0
"Last Resort","NF","Last Resort (NF)",2021,9,0,9,0
"Last Resort","NF","Last Resort (NF)",2022,6,0,6,0
"Last Resort","NF","Last Resort (NF)",2023,16,1,17,1
"Last Resort","NF","Last Resort (NF)",2024,7,0,7,0
"White Wedding","NF","White Wedding (NF)",2014,16,0,16,0
"White Wedding","NF","White Wedding (NF)",2015,21,1,22,1
"White Wedding","NF","White Wedding (NF)",2016,11,0,11,0
"White Wedding","NF","White Wedding (NF)",2017,20,2,22,2
"White Wedding","NF","White Wedding (NF)",2018,17,0,17,0
"White Wedding","NF","White Wedding (NF)",2019,5,1,6,1
"White Wedding","NF","White Wedding (NF)",2020,11,0,11,0
"White Wedding","NF","White Wedding (NF)",2021,14,0,14,0
"White Wedding","NF","White Wedding (NF)",2022,12,0,12,0
"White Wedding","NF","White Wedding (NF)",2023,19,0,19,0
"White Wedding","NF","White Wedding (NF)",2024,10,2,12,2
"Coral Cascade","NS","Coral Cascade (NS)",2013,69,0,69,0
