"SITE","site_type","SITE_label","year","substrate_group","count"
"Cappuccino","NF","Cappuccino (NF)",2013,"HC",30
"Cappuccino","NF","Cappuccino (NF)",2013,"HCB",1
"Cappuccino","NF","Cappuccino (NF)",2013,"NL",128
"Cappuccino","NF","Cappuccino (NF)",2013,"RKC",1
"Cappuccino","NF","Cappuccino (NF)",2014,"HC",38
"Cappuccino","NF","Cappuccino (NF)",2014,"HCB",6
"Cappuccino","NF","Cappuccino (NF)",2014,"NIA",6
"Cappuccino","NF","Cappuccino (NF)",2014,"NL",110
"Cappuccino","NF","Cappuccino (NF)",2015,"HC",46
"Cappuccino","NF","Cappuccino (NF)",2015,"HCB",1
"Cappuccino","NF","Cappuccino (NF)",2015,"NL",109
"Cappuccino","NF","Cappuccino (NF)",2015,"OT",1
"Cappuccino","NF","Cappuccino (NF)",2015,"RKC",1
"Cappuccino","NF","Cappuccino (NF)",2015,"SP",2
"Cappuccino","NF","Cappuccino (NF)",2016,"HC",39
"Cappuccino","NF","Cappuccino (NF)",2016,"HCB",11
"Cappuccino","NF","Cappuccino (NF)",2016,"NIA",2
"Cappuccino","NF","Cappuccino (NF)",2016,"NL",105
"Cappuccino","NF","Cappuccino (NF)",2016,"OT",3
"Cappuccino","NF","Cappuccino (NF)",2017,"HC",25
"Cappuccino","NF","Cappuccino (NF)",2017,"HCB",2
"Cappuccino","NF","Cappuccino (NF)",2017,"NIA",1
"Cappuccino","NF","Cappuccino (NF)",2017,"NL",132
"Cappuccino","NF","Cappuccino (NF)",2018,"HC",43
"Cappuccino","NF","Cappuccino (NF)",2018,"HCB",4
"Cappuccino","NF","Cappuccino (NF)",2018,"NIA",2
"Cappuccino","NF","Cappuccino (NF)",2018,"NL",107
"Cappuccino","NF","Cappuccino (NF)",2018,"OT",2
"Cappuccino","NF","Cappuccino (NF)",2018,"RKC",2
"Cappuccino","NF","Cappuccino (NF)",2019,"HC",34
"Cappuccino","NF","Cappuccino (NF)",2019,"HCB",1
"Cappuccino","NF","Cappuccino (NF)",2019,"NL",123
"Cappuccino","NF","Cappuccino (NF)",2019,"OT",2
"Cappuccino","NF","Cappuccino (NF)",2020,"HC",29
"Cappuccino","NF","Cappuccino (NF)",2020,"HCB",1
"Cappuccino","NF","Cappuccino (NF)",2020,"NIA",6
"Cappuccino","NF","Cappuccino (NF)",2020,"NL",122
"Cappuccino","NF","Cappuccino (NF)",2020,"OT",2
"Cappuccino","NF","Cappuccino (NF)",2021,"HC",24
"Cappuccino","NF","Cappuccino (NF)",2021,"NL",130
"Cappuccino","NF","Cappuccino (NF)",2021,"OT",5
