"SITE","site_type","SITE_label","year","substrate_group","Proportion"
"Cappuccino","NF","Cappuccino (NF)",2013,"HC",0.188
"Cappuccino","NF","Cappuccino (NF)",2013,"HCB",0.006
"Cappuccino","NF","Cappuccino (NF)",2013,"NIA",0
"Cappuccino","NF","Cappuccino (NF)",2013,"NL",0.799
"Cappuccino","NF","Cappuccino (NF)",2013,"NR",0
"Cappuccino","NF","Cappuccino (NF)",2013,"OT",0
"Cappuccino","NF","Cappuccino (NF)",2013,"RKC",0.006
"Cappuccino","NF","Cappuccino (NF)",2013,"SC",0
"Cappuccino","NF","Cappuccino (NF)",2013,"SP",0
"Cappuccino","NF","Cappuccino (NF)",2014,"HC",0.237
"Cappuccino","NF","Cappuccino (NF)",2014,"HCB",0.038
"Cappuccino","NF","Cappuccino (NF)",2014,"NIA",0.038
"Cappuccino","NF","Cappuccino (NF)",2014,"NL",0.688
"Cappuccino","NF","Cappuccino (NF)",2014,"NR",0
"Cappuccino","NF","Cappuccino (NF)",2014,"OT",0
"Cappuccino","NF","Cappuccino (NF)",2014,"RKC",0
"Cappuccino","NF","Cappuccino (NF)",2014,"SC",0
"Cappuccino","NF","Cappuccino (NF)",2014,"SP",0
"Cappuccino","NF","Cappuccino (NF)",2015,"HC",0.288
"Cappuccino","NF","Cappuccino (NF)",2015,"HCB",0.006
"Cappuccino","NF","Cappuccino (NF)",2015,"NIA",0
"Cappuccino","NF","Cappuccino (NF)",2015,"NL",0.682
"Cappuccino","NF","Cappuccino (NF)",2015,"NR",0
"Cappuccino","NF","Cappuccino (NF)",2015,"OT",0.006
"Cappuccino","NF","Cappuccino (NF)",2015,"RKC",0.006
"Cappuccino","NF","Cappuccino (NF)",2015,"SC",0
"Cappuccino","NF","Cappuccino (NF)",2015,"SP",0.013
"Cappuccino","NF","Cappuccino (NF)",2016,"HC",0.244
"Cappuccino","NF","Cappuccino (NF)",2016,"HCB",0.069
"Cappuccino","NF","Cappuccino (NF)",2016,"NIA",0.013
"Cappuccino","NF","Cappuccino (NF)",2016,"NL",0.657
"Cappuccino","NF","Cappuccino (NF)",2016,"NR",0
"Cappuccino","NF","Cappuccino (NF)",2016,"OT",0.019
"Cappuccino","NF","Cappuccino (NF)",2016,"RKC",0
"Cappuccino","NF","Cappuccino (NF)",2016,"SC",0
"Cappuccino","NF","Cappuccino (NF)",2016,"SP",0
"Cappuccino","NF","Cappuccino (NF)",2017,"HC",0.157
"Cappuccino","NF","Cappuccino (NF)",2017,"HCB",0.013
"Cappuccino","NF","Cappuccino (NF)",2017,"NIA",0.006
"Cappuccino","NF","Cappuccino (NF)",2017,"NL",0.825
"Cappuccino","NF","Cappuccino (NF)",2017,"NR",0
"Cappuccino","NF","Cappuccino (NF)",2017,"OT",0
"Cappuccino","NF","Cappuccino (NF)",2017,"RKC",0
"Cappuccino","NF","Cappuccino (NF)",2017,"SC",0
"Cappuccino","NF","Cappuccino (NF)",2017,"SP",0
"Cappuccino","NF","Cappuccino (NF)",2018,"HC",0.269
"Cappuccino","NF","Cappuccino (NF)",2018,"HCB",0.025
"Cappuccino","NF","Cappuccino (NF)",2018,"NIA",0.013
"Cappuccino","NF","Cappuccino (NF)",2018,"NL",0.669
"Cappuccino","NF","Cappuccino (NF)",2018,"NR",0
"Cappuccino","NF","Cappuccino (NF)",2018,"OT",0.013
"Cappuccino","NF","Cappuccino (NF)",2018,"RKC",0.013
"Cappuccino","NF","Cappuccino (NF)",2018,"SC",0
"Cappuccino","NF","Cappuccino (NF)",2018,"SP",0
"Cappuccino","NF","Cappuccino (NF)",2019,"HC",0.214
"Cappuccino","NF","Cappuccino (NF)",2019,"HCB",0.006
"Cappuccino","NF","Cappuccino (NF)",2019,"NIA",0
"Cappuccino","NF","Cappuccino (NF)",2019,"NL",0.768
"Cappuccino","NF","Cappuccino (NF)",2019,"NR",0
"Cappuccino","NF","Cappuccino (NF)",2019,"OT",0.013
"Cappuccino","NF","Cappuccino (NF)",2019,"RKC",0
"Cappuccino","NF","Cappuccino (NF)",2019,"SC",0
"Cappuccino","NF","Cappuccino (NF)",2019,"SP",0
"Cappuccino","NF","Cappuccino (NF)",2020,"HC",0.182
"Cappuccino","NF","Cappuccino (NF)",2020,"HCB",0.006
"Cappuccino","NF","Cappuccino (NF)",2020,"NIA",0.038
"Cappuccino","NF","Cappuccino (NF)",2020,"NL",0.762
"Cappuccino","NF","Cappuccino (NF)",2020,"NR",0
"Cappuccino","NF","Cappuccino (NF)",2020,"OT",0.013
"Cappuccino","NF","Cappuccino (NF)",2020,"RKC",0
"Cappuccino","NF","Cappuccino (NF)",2020,"SC",0
"Cappuccino","NF","Cappuccino (NF)",2020,"SP",0
"Cappuccino","NF","Cappuccino (NF)",2021,"HC",0.151
"Cappuccino","NF","Cappuccino (NF)",2021,"HCB",0
"Cappuccino","NF","Cappuccino (NF)",2021,"NIA",0
"Cappuccino","NF","Cappuccino (NF)",2021,"NL",0.813
"Cappuccino","NF","Cappuccino (NF)",2021,"NR",0
"Cappuccino","NF","Cappuccino (NF)",2021,"OT",0.031
"Cappuccino","NF","Cappuccino (NF)",2021,"RKC",0.006
"Cappuccino","NF","Cappuccino (NF)",2021,"SC",0
"Cappuccino","NF","Cappuccino (NF)",2021,"SP",0
"Cappuccino","NF","Cappuccino (NF)",2022,"HC",0.156
"Cappuccino","NF","Cappuccino (NF)",2022,"HCB",0.006
"Cappuccino","NF","Cappuccino (NF)",2022,"NIA",0.025
"Cappuccino","NF","Cappuccino (NF)",2022,"NL",0.775
"Cappuccino","NF","Cappuccino (NF)",2022,"NR",0
"Cappuccino","NF","Cappuccino (NF)",2022,"OT",0
"Cappuccino","NF","Cappuccino (NF)",2022,"RKC",0.038
"Cappuccino","NF","Cappuccino (NF)",2022,"SC",0
"Cappuccino","NF","Cappuccino (NF)",2022,"SP",0
"Cappuccino","NF","Cappuccino (NF)",2023,"HC",0.357
"Cappuccino","NF","Cappuccino (NF)",2023,"HCB",0
"Cappuccino","NF","Cappuccino (NF)",2023,"NIA",0.006
"Cappuccino","NF","Cappuccino (NF)",2023,"NL",0.619
"Cappuccino","NF","Cappuccino (NF)",2023,"NR",0
"Cappuccino","NF","Cappuccino (NF)",2023,"OT",0.019
"Cappuccino","NF","Cappuccino (NF)",2023,"RKC",0
"Cappuccino","NF","Cappuccino (NF)",2023,"SC",0
"Cappuccino","NF","Cappuccino (NF)",2023,"SP",0
"Cappuccino","NF","Cappuccino (NF)",2024,"HC",0.238
"Cappuccino","NF","Cappuccino (NF)",2024,"HCB",0.006
"Cappuccino","NF","Cappuccino (NF)",2024,"NIA",0.019
