SITE,SITE_label,year,site_type,HC,HCB,total_coral,rc_bleach,cw_bleach
Cappuccino,Cappuccino (NF),2013,NF,0.188,0.006,0.194,0.03092783505154639,0
Cappuccino,Cappuccino (NF),2014,NF,0.237,0.038,0.27499999999999997,0.13818181818181818,0.1125
Cappuccino,Cappuccino (NF),2015,NF,0.288,0.006,0.294,0.02040816326530612,0.1
Cappuccino,Cappuccino (NF),2016,NF,0.244,0.069,0.313,0.22044728434504793,0.0375
Cappuccino,Cappuccino (NF),2017,NF,0.157,0.013,0.17,0.07647058823529411,0.025
Cappuccino,Cappuccino (NF),2018,NF,0.269,0.025,0.29400000000000004,0.08503401360544217,0.0375
Cappuccino,Cappuccino (NF),2019,NF,0.214,0.006,0.22,0.02727272727272727,NA
Cappuccino,Cappuccino (NF),2020,NF,0.182,0.006,0.188,0.03191489361702127,0.1
Cappuccino,Cappuccino (NF),2021,NF,0.151,0,0.151,0,0
Cappuccino,Cappuccino (NF),2022,NF,0.156,0.006,0.162,0.03703703703703703,0
Cappuccino,Cappuccino (NF),2023,NF,0.357,0,0.357,0,0.06666666666666667
Cappuccino,Cappuccino (NF),2024,NF,0.238,0.006,0.244,0.02459016393442623,0.06140350877192982
Last Resort,Last Resort (NF),2013,NF,0.095,0,0.095,0,NA
Last Resort,Last Resort (NF),2014,NF,0.044,0,0.044,0,0.0625
Last Resort,Last Resort (NF),2015,NF,0.075,0,0.075,0,NA
Last Resort,Last Resort (NF),2016,NF,0.206,0.006,0.212,0.02830188679245283,0.04166666666666666
Last Resort,Last Resort (NF),2017,NF,0.019,0.019,0.038,0.5,NA
Last Resort,Last Resort (NF),2018,NF,0.075,0.038,0.113,0.336283185840708,NA
Last Resort,Last Resort (NF),2019,NF,0.063,0.006,0.069,0.08695652173913043,NA
Last Resort,Last Resort (NF),2020,NF,0.032,0,0.032,0,NA
Last Resort,Last Resort (NF),2021,NF,0.056,0,0.056,0,NA
Last Resort,Last Resort (NF),2022,NF,0.038,0,0.038,0,NA
Last Resort,Last Resort (NF),2023,NF,0.1,0.006,0.106,0.05660377358490565,0
Last Resort,Last Resort (NF),2024,NF,0.044,0,0.044,0,0
White Wedding,White Wedding (NF),2014,NF,0.1,0,0.1,0,0.05
White Wedding,White Wedding (NF),2015,NF,0.131,0.006,0.137,0.0437956204379562,0.13157894736842105
White Wedding,White Wedding (NF),2016,NF,0.069,0,0.069,0,0.02564102564102564
White Wedding,White Wedding (NF),2017,NF,0.126,0.013,0.139,0.0935251798561151,0.075
White Wedding,White Wedding (NF),2018,NF,0.107,0,0.107,0,0
